N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"I wasn't expecting that, will just continue as usual"
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,"I wasn't expecting that, will just continue as usual"
3,Nc3,b1c3,rnbqkb1r/pppppppp/5n2/8/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 2 2,"I wasn't expecting that, will just continue as usual"
4,e6,e7e6,rnbqkb1r/pppp1ppp/4pn2/8/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,I think this is a little defensive
5,a3,a2a3,rnbqkb1r/pppp1ppp/4pn2/8/3P4/P1N5/1PP1PPPP/R1BQKBNR b KQkq - 0 3,I think this is a little defensive
6,Be7,f8e7,rnbqk2r/ppppbppp/4pn2/8/3P4/P1N5/1PP1PPPP/R1BQKBNR w KQkq - 1 4,Well the black bishop is locked in
7,e3,e2e3,rnbqk2r/ppppbppp/4pn2/8/3P4/P1N1P3/1PP2PPP/R1BQKBNR b KQkq - 0 4,Well the black bishop is locked in
8,O-O,e8g8,rnbq1rk1/ppppbppp/4pn2/8/3P4/P1N1P3/1PP2PPP/R1BQKBNR w KQ - 1 5,I am looking to expand on the queen side and c5 is coming
9,Be2,f1e2,rnbq1rk1/ppppbppp/4pn2/8/3P4/P1N1P3/1PP1BPPP/R1BQK1NR b KQ - 2 5,I am looking to expand on the queen side and c5 is coming
10,d5,d7d5,rnbq1rk1/ppp1bppp/4pn2/3p4/3P4/P1N1P3/1PP1BPPP/R1BQK1NR w KQ - 0 6,I am looking to expand on the queen side and c5 is coming
11,Bg4,e2g4,rnbq1rk1/ppp1bppp/4pn2/3p4/3P2B1/P1N1P3/1PP2PPP/R1BQK1NR b KQ - 1 6,I will continue with developing my pieces
12,c5,c7c5,rnbq1rk1/pp2bppp/4pn2/2pp4/3P2B1/P1N1P3/1PP2PPP/R1BQK1NR w KQ - 0 7,The bishop has now moved 3 times ??
13,dxc5,d4c5,rnbq1rk1/pp2bppp/4pn2/2Pp4/6B1/P1N1P3/1PP2PPP/R1BQK1NR b KQ - 0 7,The bishop has now moved 3 times ??
14,Bxc5,e7c5,rnbq1rk1/pp3ppp/4pn2/2bp4/6B1/P1N1P3/1PP2PPP/R1BQK1NR w KQ - 0 8,The bishop has now moved 3 times ??
15,Bf3,g4f3,rnbq1rk1/pp3ppp/4pn2/2bp4/8/P1N1PB2/1PP2PPP/R1BQK1NR b KQ - 1 8,The bishop has now moved 3 times ??
16,Nc6,b8c6,r1bq1rk1/pp3ppp/2n1pn2/2bp4/8/P1N1PB2/1PP2PPP/R1BQK1NR w KQ - 2 9,it is all square but black has a little bit more space
17,Nge2,g1e2,r1bq1rk1/pp3ppp/2n1pn2/2bp4/8/P1N1PB2/1PP1NPPP/R1BQK2R b KQ - 3 9,it is all square but black has a little bit more space
18,a6,a7a6,r1bq1rk1/1p3ppp/p1n1pn2/2bp4/8/P1N1PB2/1PP1NPPP/R1BQK2R w KQ - 0 10,"Time to begin mobilising, I plan to exploit the half open c file"
19,O-O,e1g1,r1bq1rk1/1p3ppp/p1n1pn2/2bp4/8/P1N1PB2/1PP1NPPP/R1BQ1RK1 b - - 1 10,"Time to begin mobilising, I plan to exploit the half open c file"
20,Ne5,c6e5,r1bq1rk1/1p3ppp/p3pn2/2bpn3/8/P1N1PB2/1PP1NPPP/R1BQ1RK1 w - - 2 11,"Time to begin mobilising, I plan to exploit the half open c file"
21,Ng3,e2g3,r1bq1rk1/1p3ppp/p3pn2/2bpn3/8/P1N1PBN1/1PP2PPP/R1BQ1RK1 b - - 3 11,I could have won a pawn here but think it is too early to exchange a bishop for a knight
22,Qc7,d8c7,r1b2rk1/1pq2ppp/p3pn2/2bpn3/8/P1N1PBN1/1PP2PPP/R1BQ1RK1 w - - 4 12,I could have won a pawn here but think it is too early to exchange a bishop for a knight
23,Be2,f3e2,r1b2rk1/1pq2ppp/p3pn2/2bpn3/8/P1N1P1N1/1PP1BPPP/R1BQ1RK1 b - - 5 12,I could have won a pawn here but think it is too early to exchange a bishop for a knight
24,b5,b7b5,r1b2rk1/2q2ppp/p3pn2/1pbpn3/8/P1N1P1N1/1PP1BPPP/R1BQ1RK1 w - - 0 13,I could have won a pawn here but think it is too early to exchange a bishop for a knight
25,b4,b2b4,r1b2rk1/2q2ppp/p3pn2/1pbpn3/1P6/P1N1P1N1/2P1BPPP/R1BQ1RK1 b - - 0 13,I could have won a pawn here but think it is too early to exchange a bishop for a knight
26,Be7,c5e7,r1b2rk1/2q1bppp/p3pn2/1p1pn3/1P6/P1N1P1N1/2P1BPPP/R1BQ1RK1 w - - 1 14,this C file is going to cause problems
27,Bb2,c1b2,r1b2rk1/2q1bppp/p3pn2/1p1pn3/1P6/P1N1P1N1/1BP1BPPP/R2Q1RK1 b - - 2 14,White is gradually being pushed back
28,Bb7,c8b7,r4rk1/1bq1bppp/p3pn2/1p1pn3/1P6/P1N1P1N1/1BP1BPPP/R2Q1RK1 w - - 3 15,White is gradually being pushed back
29,Bf3,e2f3,r4rk1/1bq1bppp/p3pn2/1p1pn3/1P6/P1N1PBN1/1BP2PPP/R2Q1RK1 b - - 4 15,White is gradually being pushed back
30,Nc4,e5c4,r4rk1/1bq1bppp/p3pn2/1p1p4/1Pn5/P1N1PBN1/1BP2PPP/R2Q1RK1 w - - 5 16,White is gradually being pushed back
31,Qc1,d1c1,r4rk1/1bq1bppp/p3pn2/1p1p4/1Pn5/P1N1PBN1/1BP2PPP/R1Q2RK1 b - - 6 16,The pressure on the c file is mounting
32,Rfc8,f8c8,r1r3k1/1bq1bppp/p3pn2/1p1p4/1Pn5/P1N1PBN1/1BP2PPP/R1Q2RK1 w - - 7 17,The pressure on the c file is mounting
33,Re1,f1e1,r1r3k1/1bq1bppp/p3pn2/1p1p4/1Pn5/P1N1PBN1/1BP2PPP/R1Q1R1K1 b - - 8 17,Guess I'll win a minor piece here
34,Nxb2,c4b2,r1r3k1/1bq1bppp/p3pn2/1p1p4/1P6/P1N1PBN1/1nP2PPP/R1Q1R1K1 w - - 0 18,Again maintaining the pressure and forcing white on the back foot
35,Qxb2,c1b2,r1r3k1/1bq1bppp/p3pn2/1p1p4/1P6/P1N1PBN1/1QP2PPP/R3R1K1 b - - 0 18,Again maintaining the pressure and forcing white on the back foot
36,Qxc3,c7c3,r1r3k1/1b2bppp/p3pn2/1p1p4/1P6/P1q1PBN1/1QP2PPP/R3R1K1 w - - 0 19,Again maintaining the pressure and forcing white on the back foot
37,Qxc3,b2c3,r1r3k1/1b2bppp/p3pn2/1p1p4/1P6/P1Q1PBN1/2P2PPP/R3R1K1 b - - 0 19,Again maintaining the pressure and forcing white on the back foot
38,Rxc3,c8c3,r5k1/1b2bppp/p3pn2/1p1p4/1P6/P1r1PBN1/2P2PPP/R3R1K1 w - - 0 20,Again maintaining the pressure and forcing white on the back foot
39,Re2,e1e2,r5k1/1b2bppp/p3pn2/1p1p4/1P6/P1r1PBN1/2P1RPPP/R5K1 b - - 1 20,Again maintaining the pressure and forcing white on the back foot
40,Rac8,a8c8,2r3k1/1b2bppp/p3pn2/1p1p4/1P6/P1r1PBN1/2P1RPPP/R5K1 w - - 2 21,Again maintaining the pressure and forcing white on the back foot
41,Ra2,a1a2,2r3k1/1b2bppp/p3pn2/1p1p4/1P6/P1r1PBN1/R1P1RPPP/6K1 b - - 3 21,"I can win a pawn here, but will consolidate first"
42,e5,e6e5,2r3k1/1b2bppp/p4n2/1p1pp3/1P6/P1r1PBN1/R1P1RPPP/6K1 w - - 0 22,"I can win a pawn here, but will consolidate first"
43,Rd2,e2d2,2r3k1/1b2bppp/p4n2/1p1pp3/1P6/P1r1PBN1/R1PR1PPP/6K1 b - - 1 22,"I can win a pawn here, but will consolidate first"
44,e4,e5e4,2r3k1/1b2bppp/p4n2/1p1p4/1P2p3/P1r1PBN1/R1PR1PPP/6K1 w - - 0 23,I think this move deserves a !
45,Be2,f3e2,2r3k1/1b2bppp/p4n2/1p1p4/1P2p3/P1r1P1N1/R1PRBPPP/6K1 b - - 1 23,I think this move deserves a !
46,Rxa3,c3a3,2r3k1/1b2bppp/p4n2/1p1p4/1P2p3/r3P1N1/R1PRBPPP/6K1 w - - 0 24,I think this move deserves a !
47,Rb2,a2b2,2r3k1/1b2bppp/p4n2/1p1p4/1P2p3/r3P1N1/1RPRBPPP/6K1 b - - 1 24,White is helping black by putting his pieces into more passive squares
48,Ra1+,a3a1,2r3k1/1b2bppp/p4n2/1p1p4/1P2p3/4P1N1/1RPRBPPP/r5K1 w - - 2 25,White is helping black by putting his pieces into more passive squares
49,Nf1,g3f1,2r3k1/1b2bppp/p4n2/1p1p4/1P2p3/4P3/1RPRBPPP/r4NK1 b - - 3 25,White is helping black by putting his pieces into more passive squares
