N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,I'm on an Alekhine run at the moment
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,I'm on an Alekhine run at the moment
3,d3,d2d3,rnbqkb1r/pppppppp/5n2/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,two knights to defend
4,Nc6,b8c6,r1bqkb1r/pppppppp/2n2n2/8/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,two knights to defend
5,Nc3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 2 3,this was a quick game so both players just developing
6,e5,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP4/PPP2PPP/R1BQKBNR w KQkq - 0 4,this was a quick game so both players just developing
7,Nf3,g1f3,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 1 4,I have got a slight advantage here
8,d5,d7d5,r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,I have got a slight advantage here
9,exd5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,white exchanges pawn
10,Nxd5,f6d5,r1bqkb1r/ppp2ppp/2n5/3np3/8/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,white exchanges pawn
11,Bg5,c1g5,r1bqkb1r/ppp2ppp/2n5/3np1B1/8/2NP1N2/PPP2PPP/R2QKB1R b KQkq - 1 6,Black takes tempo
12,f6,f7f6,r1bqkb1r/ppp3pp/2n2p2/3np1B1/8/2NP1N2/PPP2PPP/R2QKB1R w KQkq - 0 7,Black takes tempo
13,Be3,g5e3,r1bqkb1r/ppp3pp/2n2p2/3np3/8/2NPBN2/PPP2PPP/R2QKB1R b KQkq - 1 7,and uses it to pin the knight.
14,Bb4,f8b4,r1bqk2r/ppp3pp/2n2p2/3np3/1b6/2NPBN2/PPP2PPP/R2QKB1R w KQkq - 2 8,and uses it to pin the knight.
15,Qd2,d1d2,r1bqk2r/ppp3pp/2n2p2/3np3/1b6/2NPBN2/PPPQ1PPP/R3KB1R b KQkq - 3 8,pin is broken with the queen and black brings bishop out to attack other knight.
16,Bg4,c8g4,r2qk2r/ppp3pp/2n2p2/3np3/1b4b1/2NPBN2/PPPQ1PPP/R3KB1R w KQkq - 4 9,pin is broken with the queen and black brings bishop out to attack other knight.
