N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,c4,c2c4,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,I started with the English opening (A10).
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,
3,e3,e2e3,rnbqkbnr/ppp1pppp/8/3p4/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Here I left the database.
4,e5,e7e5,rnbqkbnr/ppp2ppp/8/3pp3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq - 0 3,
5,cxd5,c4d5,rnbqkbnr/ppp2ppp/8/3Pp3/8/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 3,Starting to take control of center.
6,Nf6,g8f6,rnbqkb1r/ppp2ppp/5n2/3Pp3/8/4P3/PP1P1PPP/RNBQKBNR w KQkq - 1 4,Trying to take the center.
7,Bc4,f1c4,rnbqkb1r/ppp2ppp/5n2/3Pp3/2B5/4P3/PP1P1PPP/RNBQK1NR b KQkq - 2 4,Defending the pawn while developing the Bishop.
8,Bc5,f8c5,rnbqk2r/ppp2ppp/5n2/2bPp3/2B5/4P3/PP1P1PPP/RNBQK1NR w KQkq - 3 5,
9,d4,d2d4,rnbqk2r/ppp2ppp/5n2/2bPp3/2BP4/4P3/PP3PPP/RNBQK1NR b KQkq - 0 5,Forking the Bishop and pawn.
10,exd4,e5d4,rnbqk2r/ppp2ppp/5n2/2bP4/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 6,This is interesting.
11,exd4,e3d4,rnbqk2r/ppp2ppp/5n2/2bP4/2BP4/8/PP3PPP/RNBQK1NR b KQkq - 0 6,Opening the e file.
12,Bb4+,c5b4,rnbqk2r/ppp2ppp/5n2/3P4/1bBP4/8/PP3PPP/RNBQK1NR w KQkq - 1 7,
13,Bd2,c1d2,rnbqk2r/ppp2ppp/5n2/3P4/1bBP4/8/PP1B1PPP/RN1QK1NR b KQkq - 2 7,Defending the King.
14,Bxd2+,b4d2,rnbqk2r/ppp2ppp/5n2/3P4/2BP4/8/PP1b1PPP/RN1QK1NR w KQkq - 0 8,he takes it.
15,Qxd2,d1d2,rnbqk2r/ppp2ppp/5n2/3P4/2BP4/8/PP1Q1PPP/RN2K1NR b KQkq - 0 8,
16,O-O,e8g8,rnbq1rk1/ppp2ppp/5n2/3P4/2BP4/8/PP1Q1PPP/RN2K1NR w KQ - 1 9,
17,Nf3,g1f3,rnbq1rk1/ppp2ppp/5n2/3P4/2BP4/5N2/PP1Q1PPP/RN2K2R b KQ - 2 9,Developing the Knight.
18,Re8+,f8e8,rnbqr1k1/ppp2ppp/5n2/3P4/2BP4/5N2/PP1Q1PPP/RN2K2R w KQ - 3 10,I thought this was a nice move on his part.
19,Ne5,f3e5,rnbqr1k1/ppp2ppp/5n2/3PN3/2BP4/8/PP1Q1PPP/RN2K2R b KQ - 4 10,
20,Nxd5,f6d5,rnbqr1k1/ppp2ppp/8/3nN3/2BP4/8/PP1Q1PPP/RN2K2R w KQ - 0 11,At last taking the d-5 pawn.
