N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,questa è la mossa più  usata all' inizio
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,beh'come dice lui le sue partite sono sempre così
3,Bc4,f1c4,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,"spesso è così la partita,si,come vedete!"
4,b6,b7b6,rnbqkbnr/p1pp1ppp/1p6/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,axel non era ancora iscritto e non giocava molto...poco
5,Qh5,d1h5,rnbqkbnr/p1pp1ppp/1p6/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq - 1 3,questa so che è un' eccezione...una prova
6,h6,h7h6,rnbqkbnr/p1pp1pp1/1p5p/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 4,oddio...io me lo so fatto fare perchè non guardavo proprio niente
7,Qxf7#,h5f7,rnbqkbnr/p1pp1Qp1/1p5p/4p3/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq - 0 4,e alla fine matto del barbiere(si chiama)
