N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,A very common opening by white. The fight for the center begins.
2,a5,a7a5,rnbqkbnr/1ppppppp/8/p7/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Black uses a5 to let his rook out.
3,Bc4,f1c4,rnbqkbnr/1ppppppp/8/p7/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,White brings out his bishop to c4.
4,Ra6,a8a6,1nbqkbnr/1ppppppp/r7/p7/2B1P3/8/PPPP1PPP/RNBQK1NR w KQk - 2 3,Black moves out his rook.
5,Qh5,d1h5,1nbqkbnr/1ppppppp/r7/p6Q/2B1P3/8/PPPP1PPP/RNB1K1NR b KQk - 3 3,White brings his queen to h5.
6,Rh6,a6h6,1nbqkbnr/1ppppppp/7r/p6Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQk - 4 4,Black attacks whites queen by bringing his rook to h6.
7,Qxf7#,h5f7,1nbqkbnr/1ppppQpp/7r/p7/2B1P3/8/PPPP1PPP/RNB1K1NR b KQk - 0 4,Whites queen goes to f7 and since whites bishop on c4 protects whites queen it is a checkmate and the game is over.
