N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,normal opening
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,normal opening
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,... ...
4,Nc6,b8c6,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,... ...
5,Bb5,f1b5,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,hay! I've played this before
6,Nd4,c6d4,r1bqkbnr/pppp1ppp/8/1B2p3/3nP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,
7,Nxd4,f3d4,r1bqkbnr/pppp1ppp/8/1B2p3/3NP3/8/PPPP1PPP/RNBQK2R b KQkq - 0 4,advanced trade
8,exd4,e5d4,r1bqkbnr/pppp1ppp/8/1B6/3pP3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5,advanced trade
9,d3,d2d3,r1bqkbnr/pppp1ppp/8/1B6/3pP3/3P4/PPP2PPP/RNBQK2R b KQkq - 0 5,i should have developed
10,a6,a7a6,r1bqkbnr/1ppp1ppp/p7/1B6/3pP3/3P4/PPP2PPP/RNBQK2R w KQkq - 0 6,i should have developed
11,Bc4,b5c4,r1bqkbnr/1ppp1ppp/p7/8/2BpP3/3P4/PPP2PPP/RNBQK2R b KQkq - 1 6,now we're talking!
12,Nf6,g8f6,r1bqkb1r/1ppp1ppp/p4n2/8/2BpP3/3P4/PPP2PPP/RNBQK2R w KQkq - 2 7,now we're talking!
13,e5,e4e5,r1bqkb1r/1ppp1ppp/p4n2/4P3/2Bp4/3P4/PPP2PPP/RNBQK2R b KQkq - 0 7,a blunder... for her
14,Ng8,f6g8,r1bqkbnr/1ppp1ppp/p7/4P3/2Bp4/3P4/PPP2PPP/RNBQK2R w KQkq - 1 8,a blunder... for her
15,Qh5,d1h5,r1bqkbnr/1ppp1ppp/p7/4P2Q/2Bp4/3P4/PPP2PPP/RNB1K2R b KQkq - 2 8,i don't think she saw... ...
16,g6,g7g6,r1bqkbnr/1ppp1p1p/p5p1/4P2Q/2Bp4/3P4/PPP2PPP/RNB1K2R w KQkq - 0 9,"... what??
let me try this again...
i don't think she saw... ..."
17,Qf3,h5f3,r1bqkbnr/1ppp1p1p/p5p1/4P3/2Bp4/3P1Q2/PPP2PPP/RNB1K2R b KQkq - 1 9,hmmmm
18,d6,d7d6,r1bqkbnr/1pp2p1p/p2p2p1/4P3/2Bp4/3P1Q2/PPP2PPP/RNB1K2R w KQkq - 0 10,???
19,Qxf7#,f3f7,r1bqkbnr/1pp2Q1p/p2p2p1/4P3/2Bp4/3P4/PPP2PPP/RNB1K2R b KQkq - 0 10,"... ... this!
please look for more games by me and from the Rancho Chess Club"
