N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Masterjboss... about to conduct a traditional opening?
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Whoa!
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Hm.
4,d6,d7d6,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Increasing it.
5,Bc4,f1c4,rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,Increasing it.
6,e6,e7e6,rnbqkbnr/pp3ppp/3pp3/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,Increasing it.
7,Nc3,b1c3,rnbqkbnr/pp3ppp/3pp3/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,Increasing it.
8,a6,a7a6,rnbqkbnr/1p3ppp/p2pp3/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,Increasing it.
9,d3,d2d3,rnbqkbnr/1p3ppp/p2pp3/2p5/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,Increasing it.
10,b5,b7b5,rnbqkbnr/5ppp/p2pp3/1pp5/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6,Increasing it.
11,Bb3,c4b3,rnbqkbnr/5ppp/p2pp3/1pp5/4P3/1BNP1N2/PPP2PPP/R1BQK2R b KQkq - 1 6,Qd2
12,Nc6,b8c6,r1bqkbnr/5ppp/p1npp3/1pp5/4P3/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 2 7,Qd2
13,a3,a2a3,r1bqkbnr/5ppp/p1npp3/1pp5/4P3/PBNP1N2/1PP2PPP/R1BQK2R b KQkq - 0 7,Qd2
14,Nd4,c6d4,r1bqkbnr/5ppp/p2pp3/1pp5/3nP3/PBNP1N2/1PP2PPP/R1BQK2R w KQkq - 1 8,Qd2
15,Nxd4,f3d4,r1bqkbnr/5ppp/p2pp3/1pp5/3NP3/PBNP4/1PP2PPP/R1BQK2R b KQkq - 0 8,Qd2
16,cxd4,c5d4,r1bqkbnr/5ppp/p2pp3/1p6/3pP3/PBNP4/1PP2PPP/R1BQK2R w KQkq - 0 9,Qd2
17,Ne2,c3e2,r1bqkbnr/5ppp/p2pp3/1p6/3pP3/PB1P4/1PP1NPPP/R1BQK2R b KQkq - 1 9,Qd2
18,e5,e6e5,r1bqkbnr/5ppp/p2p4/1p2p3/3pP3/PB1P4/1PP1NPPP/R1BQK2R w KQkq - 0 10,Qd2
19,O-O,e1g1,r1bqkbnr/5ppp/p2p4/1p2p3/3pP3/PB1P4/1PP1NPPP/R1BQ1RK1 b kq - 1 10,Qd2
20,Bg4,c8g4,r2qkbnr/5ppp/p2p4/1p2p3/3pP1b1/PB1P4/1PP1NPPP/R1BQ1RK1 w kq - 2 11,Qd2
21,Bd5,b3d5,r2qkbnr/5ppp/p2p4/1p1Bp3/3pP1b1/P2P4/1PP1NPPP/R1BQ1RK1 b kq - 3 11,Qd2
22,Ra7,a8a7,3qkbnr/r4ppp/p2p4/1p1Bp3/3pP1b1/P2P4/1PP1NPPP/R1BQ1RK1 w k - 4 12,Qd2
23,Qd2,d1d2,3qkbnr/r4ppp/p2p4/1p1Bp3/3pP1b1/P2P4/1PPQNPPP/R1B2RK1 b k - 5 12,Qd2
24,Nf6,g8f6,3qkb1r/r4ppp/p2p1n2/1p1Bp3/3pP1b1/P2P4/1PPQNPPP/R1B2RK1 w k - 6 13,
25,Bc6+,d5c6,3qkb1r/r4ppp/p1Bp1n2/1p2p3/3pP1b1/P2P4/1PPQNPPP/R1B2RK1 b k - 7 13,
26,Bd7,g4d7,3qkb1r/r2b1ppp/p1Bp1n2/1p2p3/3pP3/P2P4/1PPQNPPP/R1B2RK1 w k - 8 14,
27,Bxd7+,c6d7,3qkb1r/r2B1ppp/p2p1n2/1p2p3/3pP3/P2P4/1PPQNPPP/R1B2RK1 b k - 0 14,
28,Qxd7,d8d7,4kb1r/r2q1ppp/p2p1n2/1p2p3/3pP3/P2P4/1PPQNPPP/R1B2RK1 w k - 0 15,
29,h3,h2h3,4kb1r/r2q1ppp/p2p1n2/1p2p3/3pP3/P2P3P/1PPQNPP1/R1B2RK1 b k - 0 15,
30,Be7,f8e7,4k2r/r2qbppp/p2p1n2/1p2p3/3pP3/P2P3P/1PPQNPP1/R1B2RK1 w k - 1 16,
31,Ng3,e2g3,4k2r/r2qbppp/p2p1n2/1p2p3/3pP3/P2P2NP/1PPQ1PP1/R1B2RK1 b k - 2 16,
32,O-O,e8g8,5rk1/r2qbppp/p2p1n2/1p2p3/3pP3/P2P2NP/1PPQ1PP1/R1B2RK1 w - - 3 17,
33,Qe2,d2e2,5rk1/r2qbppp/p2p1n2/1p2p3/3pP3/P2P2NP/1PP1QPP1/R1B2RK1 b - - 4 17,
34,Re8,f8e8,4r1k1/r2qbppp/p2p1n2/1p2p3/3pP3/P2P2NP/1PP1QPP1/R1B2RK1 w - - 5 18,
35,Bg5,c1g5,4r1k1/r2qbppp/p2p1n2/1p2p1B1/3pP3/P2P2NP/1PP1QPP1/R4RK1 b - - 6 18,
36,h6,h7h6,4r1k1/r2qbpp1/p2p1n1p/1p2p1B1/3pP3/P2P2NP/1PP1QPP1/R4RK1 w - - 0 19,
37,Bxf6,g5f6,4r1k1/r2qbpp1/p2p1B1p/1p2p3/3pP3/P2P2NP/1PP1QPP1/R4RK1 b - - 0 19,
38,Bxf6,e7f6,4r1k1/r2q1pp1/p2p1b1p/1p2p3/3pP3/P2P2NP/1PP1QPP1/R4RK1 w - - 0 20,
39,Nf5,g3f5,4r1k1/r2q1pp1/p2p1b1p/1p2pN2/3pP3/P2P3P/1PP1QPP1/R4RK1 b - - 1 20,
40,d5,d6d5,4r1k1/r2q1pp1/p4b1p/1p1ppN2/3pP3/P2P3P/1PP1QPP1/R4RK1 w - - 0 21,
41,Qg4,e2g4,4r1k1/r2q1pp1/p4b1p/1p1ppN2/3pP1Q1/P2P3P/1PP2PP1/R4RK1 b - - 1 21,
42,Kh7,g8h7,4r3/r2q1ppk/p4b1p/1p1ppN2/3pP1Q1/P2P3P/1PP2PP1/R4RK1 w - - 2 22,
43,Rac1,a1c1,4r3/r2q1ppk/p4b1p/1p1ppN2/3pP1Q1/P2P3P/1PP2PP1/2R2RK1 b - - 3 22,
44,dxe4,d5e4,4r3/r2q1ppk/p4b1p/1p2pN2/3pp1Q1/P2P3P/1PP2PP1/2R2RK1 w - - 0 23,
45,Qxe4,g4e4,4r3/r2q1ppk/p4b1p/1p2pN2/3pQ3/P2P3P/1PP2PP1/2R2RK1 b - - 0 23,
46,g6,g7g6,4r3/r2q1p1k/p4bpp/1p2pN2/3pQ3/P2P3P/1PP2PP1/2R2RK1 w - - 0 24,
47,Ng3,f5g3,4r3/r2q1p1k/p4bpp/1p2p3/3pQ3/P2P2NP/1PP2PP1/2R2RK1 b - - 1 24,
48,Bg7,f6g7,4r3/r2q1pbk/p5pp/1p2p3/3pQ3/P2P2NP/1PP2PP1/2R2RK1 w - - 2 25,
49,Rfe1,f1e1,4r3/r2q1pbk/p5pp/1p2p3/3pQ3/P2P2NP/1PP2PP1/2R1R1K1 b - - 3 25,
50,f5,f7f5,4r3/r2q2bk/p5pp/1p2pp2/3pQ3/P2P2NP/1PP2PP1/2R1R1K1 w - - 0 26,
51,Qh4,e4h4,4r3/r2q2bk/p5pp/1p2pp2/3p3Q/P2P2NP/1PP2PP1/2R1R1K1 b - - 1 26,
52,Qd6,d7d6,4r3/r5bk/p2q2pp/1p2pp2/3p3Q/P2P2NP/1PP2PP1/2R1R1K1 w - - 2 27,
