N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,normal
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,same
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,trying to get minor pieces out.
4,Qf6,d8f6,rnb1kbnr/pppp1ppp/5q2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,queen out too ealry
5,Bc4,f1c4,rnb1kbnr/pppp1ppp/5q2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,bishop
6,Bc5,f8c5,rnb1k1nr/pppp1ppp/5q2/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,same
7,O-O,e1g1,rnb1k1nr/pppp1ppp/5q2/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4,castle
8,d6,d7d6,rnb1k1nr/ppp2ppp/3p1q2/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,is there a name for the wall of pawns
9,d3,d2d3,rnb1k1nr/ppp2ppp/3p1q2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 0 5,pawn
10,Bg4,c8g4,rn2k1nr/ppp2ppp/3p1q2/2b1p3/2B1P1b1/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 1 6,bishop
11,Qe1,d1e1,rn2k1nr/ppp2ppp/3p1q2/2b1p3/2B1P1b1/3P1N2/PPP2PPP/RNB1QRK1 b kq - 2 6,queen
12,Nc6,b8c6,r3k1nr/ppp2ppp/2np1q2/2b1p3/2B1P1b1/3P1N2/PPP2PPP/RNB1QRK1 w kq - 3 7,knight
13,Nc3,b1c3,r3k1nr/ppp2ppp/2np1q2/2b1p3/2B1P1b1/2NP1N2/PPP2PPP/R1B1QRK1 b kq - 4 7,same
14,Bxf3,g4f3,r3k1nr/ppp2ppp/2np1q2/2b1p3/2B1P3/2NP1b2/PPP2PPP/R1B1QRK1 w kq - 0 8,-3
15,Nd5,c3d5,r3k1nr/ppp2ppp/2np1q2/2bNp3/2B1P3/3P1b2/PPP2PPP/R1B1QRK1 b kq - 1 8,knight
16,Qg6,f6g6,r3k1nr/ppp2ppp/2np2q1/2bNp3/2B1P3/3P1b2/PPP2PPP/R1B1QRK1 w kq - 2 9,I think I must of lost track of the queen.
17,Nxc7+,d5c7,r3k1nr/ppN2ppp/2np2q1/2b1p3/2B1P3/3P1b2/PPP2PPP/R1B1QRK1 b kq - 0 9,check
18,Kd8,e8d8,r2k2nr/ppN2ppp/2np2q1/2b1p3/2B1P3/3P1b2/PPP2PPP/R1B1QRK1 w - - 1 10,i am doomed
19,Nxa8,c7a8,N2k2nr/pp3ppp/2np2q1/2b1p3/2B1P3/3P1b2/PPP2PPP/R1B1QRK1 b - - 0 10,+3
20,Qxg2#,g6g2,N2k2nr/pp3ppp/2np4/2b1p3/2B1P3/3P1b2/PPP2PqP/R1B1QRK1 w - - 0 11,I lost . how can i keep better track of the queen.
