N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Typical.
2,d6,d7d6,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"Pirc Defence. I've played against this before, but I'm not too familiar with it."
3,d4,d2d4,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"Already out of openings book, but seems fine to me."
4,e5,e7e5,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"Already out of openings book, but seems fine to me."
5,dxe5,d4e5,rnbqkbnr/ppp2ppp/3p4/4P3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,Is this OK? I guess it throws black's castling opportunities away.
6,dxe5,d6e5,rnbqkbnr/ppp2ppp/8/4p3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Is this OK? I guess it throws black's castling opportunities away.
7,Qxd8+,d1d8,rnbQkbnr/ppp2ppp/8/4p3/4P3/8/PPP2PPP/RNB1KBNR b KQkq - 0 4,Is this OK? I guess it throws black's castling opportunities away.
8,Kxd8,e8d8,rnbk1bnr/ppp2ppp/8/4p3/4P3/8/PPP2PPP/RNB1KBNR w KQ - 0 5,Development.
9,Nf3,g1f3,rnbk1bnr/ppp2ppp/8/4p3/4P3/5N2/PPP2PPP/RNB1KB1R b KQ - 1 5,Development.
10,Nc6,b8c6,r1bk1bnr/ppp2ppp/2n5/4p3/4P3/5N2/PPP2PPP/RNB1KB1R w KQ - 2 6,Development.
11,Bb5,f1b5,r1bk1bnr/ppp2ppp/2n5/1B2p3/4P3/5N2/PPP2PPP/RNB1K2R b KQ - 3 6,Development.
12,f6,f7f6,r1bk1bnr/ppp3pp/2n2p2/1B2p3/4P3/5N2/PPP2PPP/RNB1K2R w KQ - 0 7,"If I do Bxc6, Nxe5 afterwards no longer wins material. Would Bd6 have been better though?"
13,Bxc6,b5c6,r1bk1bnr/ppp3pp/2B2p2/4p3/4P3/5N2/PPP2PPP/RNB1K2R b KQ - 0 7,Trying to trade against strong opponents.
