N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,Nf3,g1f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,"Not being familiar with this, I used the DB feature to research likely moves."
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,This is what appeared  most statistically successful for black.
3,g3,g2g3,rnbqkb1r/pppppppp/5n2/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,white and I follow book for the next several moves
4,d5,d7d5,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,white and I follow book for the next several moves
5,Bg2,f1g2,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,white and I follow book for the next several moves
6,c5,c7c5,rnbqkb1r/pp2pppp/5n2/2pp4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,And we're off in to new territory with white sacking a pawn.
7,O-O,e1g1,rnbqkb1r/pp2pppp/5n2/2pp4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 1 4,And we're off in to new territory with white sacking a pawn.
8,h6,h7h6,rnbqkb1r/pp2ppp1/5n1p/2pp4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 0 5,And we're off in to new territory with white sacking a pawn.
9,c4,c2c4,rnbqkb1r/pp2ppp1/5n1p/2pp4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 0 5,And we're off in to new territory with white sacking a pawn.
10,d4,d5d4,rnbqkb1r/pp2ppp1/5n1p/2p5/2Pp4/5NP1/PP1PPPBP/RNBQ1RK1 w kq - 0 6,And we're off in to new territory with white sacking a pawn.
11,b4,b2b4,rnbqkb1r/pp2ppp1/5n1p/2p5/1PPp4/5NP1/P2PPPBP/RNBQ1RK1 b kq - 0 6,And we're off in to new territory with white sacking a pawn.
12,cxb4,c5b4,rnbqkb1r/pp2ppp1/5n1p/8/1pPp4/5NP1/P2PPPBP/RNBQ1RK1 w kq - 0 7,I gratefully accept.
13,a3,a2a3,rnbqkb1r/pp2ppp1/5n1p/8/1pPp4/P4NP1/3PPPBP/RNBQ1RK1 b kq - 0 7,Revealed defense.
14,e6,e7e6,rnbqkb1r/pp3pp1/4pn1p/8/1pPp4/P4NP1/3PPPBP/RNBQ1RK1 w kq - 0 8,Revealed defense.
15,d3,d2d3,rnbqkb1r/pp3pp1/4pn1p/8/1pPp4/P2P1NP1/4PPBP/RNBQ1RK1 b kq - 0 8,"Opening file for bishop, I suppose."
16,Nc6,b8c6,r1bqkb1r/pp3pp1/2n1pn1p/8/1pPp4/P2P1NP1/4PPBP/RNBQ1RK1 w kq - 1 9,Black must begin to develop pieces.
17,axb4,a3b4,r1bqkb1r/pp3pp1/2n1pn1p/8/1PPp4/3P1NP1/4PPBP/RNBQ1RK1 b kq - 0 9,"White snacks on pawn, and looks a bit like a pawn storm."
18,Bxb4,f8b4,r1bqk2r/pp3pp1/2n1pn1p/8/1bPp4/3P1NP1/4PPBP/RNBQ1RK1 w kq - 0 10,taking with bishop to keep two defenders on my d4 pawn.
19,Ba3,c1a3,r1bqk2r/pp3pp1/2n1pn1p/8/1bPp4/B2P1NP1/4PPBP/RN1Q1RK1 b kq - 1 10,"I want to be able to castle soonish, so accepting bishop trade so castling through check isn't an issue."
20,Bxa3,b4a3,r1bqk2r/pp3pp1/2n1pn1p/8/2Pp4/b2P1NP1/4PPBP/RN1Q1RK1 w kq - 0 11,"I want to be able to castle soonish, so accepting bishop trade so castling through check isn't an issue."
21,Nxa3,b1a3,r1bqk2r/pp3pp1/2n1pn1p/8/2Pp4/N2P1NP1/4PPBP/R2Q1RK1 b kq - 0 11,"I would have taken with the rook, probably"
22,a6,a7a6,r1bqk2r/1p3pp1/p1n1pn1p/8/2Pp4/N2P1NP1/4PPBP/R2Q1RK1 w kq - 0 12,This was fairly useless. I should have castled instead
23,Qd2,d1d2,r1bqk2r/1p3pp1/p1n1pn1p/8/2Pp4/N2P1NP1/3QPPBP/R4RK1 b kq - 1 12,lining upon b file pawn.
24,O-O,e8g8,r1bq1rk1/1p3pp1/p1n1pn1p/8/2Pp4/N2P1NP1/3QPPBP/R4RK1 w - - 2 13,lining upon b file pawn.
25,Rfb1,f1b1,r1bq1rk1/1p3pp1/p1n1pn1p/8/2Pp4/N2P1NP1/3QPPBP/RR4K1 b - - 3 13,lining upon b file pawn.
26,e5,e6e5,r1bq1rk1/1p3pp1/p1n2n1p/4p3/2Pp4/N2P1NP1/3QPPBP/RR4K1 w - - 0 14,Getting another defender on d4
27,Nc2,a3c2,r1bq1rk1/1p3pp1/p1n2n1p/4p3/2Pp4/3P1NP1/2NQPPBP/RR4K1 b - - 1 14,White balances out defenders on d4 square.
28,Bf5,c8f5,r2q1rk1/1p3pp1/p1n2n1p/4pb2/2Pp4/3P1NP1/2NQPPBP/RR4K1 w - - 2 15,Small blunder... I leave my b2 pawn undefended.
29,Rxb7,b1b7,r2q1rk1/1R3pp1/p1n2n1p/4pb2/2Pp4/3P1NP1/2NQPPBP/R5K1 b - - 0 15,and white takes
30,e4,e5e4,r2q1rk1/1R3pp1/p1n2n1p/5b2/2Ppp3/3P1NP1/2NQPPBP/R5K1 w - - 0 16,attacking knight.
31,Nh4,f3h4,r2q1rk1/1R3pp1/p1n2n1p/5b2/2Ppp2N/3P2P1/2NQPPBP/R5K1 b - - 1 16,White attacks bishop
