N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,a possible move...
2,e6,e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,a possible move...
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,a possible move...
4,Nf6,g8f6,rnbqkb1r/pppp1ppp/4pn2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,look like the alekhin defence...
5,e5,e4e5,rnbqkb1r/pppp1ppp/4pn2/4P3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,look like the alekhin defence...
6,Nd5,f6d5,rnbqkb1r/pppp1ppp/4p3/3nP3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 4,look like the alekhin defence...
7,c4,c2c4,rnbqkb1r/pppp1ppp/4p3/3nP3/2P5/5N2/PP1P1PPP/RNBQKB1R b KQkq - 0 4,look like the alekhin defence...
8,Nb6,d5b6,rnbqkb1r/pppp1ppp/1n2p3/4P3/2P5/5N2/PP1P1PPP/RNBQKB1R w KQkq - 1 5,look like the alekhin defence...
9,d4,d2d4,rnbqkb1r/pppp1ppp/1n2p3/4P3/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq - 0 5,look like the alekhin defence...
10,Nc6,b8c6,r1bqkb1r/pppp1ppp/1nn1p3/4P3/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 1 6,look like the alekhin defence...
11,Be3,c1e3,r1bqkb1r/pppp1ppp/1nn1p3/4P3/2PP4/4BN2/PP3PPP/RN1QKB1R b KQkq - 2 6,but the c8 bishop is not in the game. by that diference white has a great center.
12,Bb4+,f8b4,r1bqk2r/pppp1ppp/1nn1p3/4P3/1bPP4/4BN2/PP3PPP/RN1QKB1R w KQkq - 3 7,but the c8 bishop is not in the game. by that diference white has a great center.
13,Nbd2,b1d2,r1bqk2r/pppp1ppp/1nn1p3/4P3/1bPP4/4BN2/PP1N1PPP/R2QKB1R b KQkq - 4 7,but the c8 bishop is not in the game. by that diference white has a great center.
14,O-O,e8g8,r1bq1rk1/pppp1ppp/1nn1p3/4P3/1bPP4/4BN2/PP1N1PPP/R2QKB1R w KQ - 5 8,but the c8 bishop is not in the game. by that diference white has a great center.
15,Bd3,f1d3,r1bq1rk1/pppp1ppp/1nn1p3/4P3/1bPP4/3BBN2/PP1N1PPP/R2QK2R b KQ - 6 8,but the c8 bishop is not in the game. by that diference white has a great center.
16,d6,d7d6,r1bq1rk1/ppp2ppp/1nnpp3/4P3/1bPP4/3BBN2/PP1N1PPP/R2QK2R w KQ - 0 9,but the c8 bishop is not in the game. by that diference white has a great center.
17,Ng5,f3g5,r1bq1rk1/ppp2ppp/1nnpp3/4P1N1/1bPP4/3BB3/PP1N1PPP/R2QK2R b KQ - 1 9,wants the h7 pawn. it looks like a great attack on the black king and there is no piece to defend it.
18,dxe5,d6e5,r1bq1rk1/ppp2ppp/1nn1p3/4p1N1/1bPP4/3BB3/PP1N1PPP/R2QK2R w KQ - 0 10,?? h6 or g6 must be considered here.
19,Bxh7+,d3h7,r1bq1rk1/ppp2ppB/1nn1p3/4p1N1/1bPP4/4B3/PP1N1PPP/R2QK2R b KQ - 0 10,a great attack.
