N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,My own recommendation against myself.
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,My own recommendation against myself.
3,Bf4,c1f4,rnbqkb1r/pppppppp/5n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,My own recommendation against myself.
4,e6,e7e6,rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,My own recommendation against myself.
5,Nf3,g1f3,rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,My own recommendation against myself.
6,c5,c7c5,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,My own recommendation against myself.
7,c3,c2c3,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 0 4,I play this because I don't want to handle the pressure on b2 after ...Qb6.
8,Nc6,b8c6,r1bqkb1r/pp1p1ppp/2n1pn2/2p5/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 1 5,Taking the pawn instead is good.
9,e3,e2e3,r1bqkb1r/pp1p1ppp/2n1pn2/2p5/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,"Fortress buildt. Now, let's see how to attack. He has to do something with his d pawn."
10,Be7,f8e7,r1bqk2r/pp1pbppp/2n1pn2/2p5/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq - 1 6,"...or Nd7, ""waiting"" another move for him to castle. I invite him to do so this way."
11,h3,h2h3,r1bqk2r/pp1pbppp/2n1pn2/2p5/3P1B2/2P1PN1P/PP3PP1/RN1QKB1R b KQkq - 0 6,"...or Nd7, ""waiting"" another move for him to castle. I invite him to do so this way."
12,O-O,e8g8,r1bq1rk1/pp1pbppp/2n1pn2/2p5/3P1B2/2P1PN1P/PP3PP1/RN1QKB1R w KQ - 1 7,"...with this in mind, of course."
13,g4,g2g4,r1bq1rk1/pp1pbppp/2n1pn2/2p5/3P1BP1/2P1PN1P/PP3P2/RN1QKB1R b KQ - 0 7,"...with this in mind, of course."
14,d5,d7d5,r1bq1rk1/pp2bppp/2n1pn2/2pp4/3P1BP1/2P1PN1P/PP3P2/RN1QKB1R w KQ - 0 8,Just transposition.
15,Bb5,f1b5,r1bq1rk1/pp2bppp/2n1pn2/1Bpp4/3P1BP1/2P1PN1P/PP3P2/RN1QK2R b KQ - 1 8,This is a new try for me. I intended to exchange the lsb and play on the Qside. A bad plan.
16,Qb6,d8b6,r1b2rk1/pp2bppp/1qn1pn2/1Bpp4/3P1BP1/2P1PN1P/PP3P2/RN1QK2R w KQ - 2 9,"...and now I can remember why! The game is lost for me. If BxN, Qxb2."
