N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e3,e2e3,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,defensive move
2,a5,a7a5,rnbqkbnr/1ppppppp/8/p7/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,good start
3,Bc4,f1c4,rnbqkbnr/1ppppppp/8/p7/2B5/4P3/PPPP1PPP/RNBQK1NR b KQkq - 1 2,very common start
4,Na6,b8a6,r1bqkbnr/1ppppppp/n7/p7/2B5/4P3/PPPP1PPP/RNBQK1NR w KQkq - 2 3,excellent defense
5,Qf3,d1f3,r1bqkbnr/1ppppppp/n7/p7/2B5/4PQ2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,attack position
6,c6,c7c6,r1bqkbnr/1p1ppppp/n1p5/p7/2B5/4PQ2/PPPP1PPP/RNB1K1NR w KQkq - 0 4,wrong move........didn't see the attack
7,Qxf7#,f3f7,r1bqkbnr/1p1ppQpp/n1p5/p7/2B5/4P3/PPPP1PPP/RNB1K1NR b KQkq - 0 4,final move to wrap everything up
