N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,So far so normal...
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,So far so normal...
3,c4,c2c4,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,So far so normal...
4,e6,e7e6,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,So far so normal...
5,Nf3,g1f3,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,So far so normal...
6,b6,b7b6,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,So far so normal...
7,e3,e2e3,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,This bishop will control this diagonal the rest of the game.
8,Bb7,c8b7,rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5,This bishop will control this diagonal the rest of the game.
9,Bd3,f1d3,rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/3BPN2/PP3PPP/RNBQK2R b KQkq - 2 5,Looking to crack the center.
10,d5,d7d5,rn1qkb1r/pbp2ppp/1p2pn2/3p4/2PP4/3BPN2/PP3PPP/RNBQK2R w KQkq - 0 6,Looking to crack the center.
11,b3,b2b3,rn1qkb1r/pbp2ppp/1p2pn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQK2R b KQkq - 0 6,Both Tal's bishops point ominously at Spassky's King-side.
12,Bd6,f8d6,rn1qk2r/pbp2ppp/1p1bpn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQK2R w KQkq - 1 7,Both Tal's bishops point ominously at Spassky's King-side.
13,O-O,e1g1,rn1qk2r/pbp2ppp/1p1bpn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQ1RK1 b kq - 2 7,"Both sides castle, but Spassky ""castles into it."""
14,O-O,e8g8,rn1q1rk1/pbp2ppp/1p1bpn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQ1RK1 w - - 3 8,"Both sides castle, but Spassky ""castles into it."""
15,Bb2,c1b2,rn1q1rk1/pbp2ppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 b - - 4 8,Continuing his slow buildup...
16,Nbd7,b8d7,r2q1rk1/pbpn1ppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 w - - 5 9,Continuing his slow buildup...
17,Nbd2,b1d2,r2q1rk1/pbpn1ppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 b - - 6 9,Completing development.
18,Qe7,d8e7,r4rk1/pbpnqppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 w - - 7 10,Completing development.
19,Rc1,a1c1,r4rk1/pbpnqppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB1N1PPP/2RQ1RK1 b - - 8 10,Making final preparations...
20,Rad8,a8d8,3r1rk1/pbpnqppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB1N1PPP/2RQ1RK1 w - - 9 11,Making final preparations...
21,Qc2,d1c2,3r1rk1/pbpnqppp/1p1bpn2/3p4/2PP4/1P1BPN2/PBQN1PPP/2R2RK1 b - - 10 11,Looking to blast open some attacking lines.
