N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,Nc3,b1c3,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,Thank you very much!
2,Nc6,b8c6,r1bqkbnr/pppppppp/2n5/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 2 2,Thank you very much!
3,Nf3,g1f3,r1bqkbnr/pppppppp/2n5/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,Thank you very much!
4,Nf6,g8f6,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,Thank you very much!
5,Ne5,f3e5,r1bqkb1r/pppppppp/2n2n2/4N3/8/2N5/PPPPPPPP/R1BQKB1R b KQkq - 5 3,Thank you very much!
6,Ne4,f6e4,r1bqkb1r/pppppppp/2n5/4N3/4n3/2N5/PPPPPPPP/R1BQKB1R w KQkq - 6 4,Thank you very much!
7,Nxc6,e5c6,r1bqkb1r/pppppppp/2N5/8/4n3/2N5/PPPPPPPP/R1BQKB1R b KQkq - 0 4,Thank you very much!
8,Nxc3,e4c3,r1bqkb1r/pppppppp/2N5/8/8/2n5/PPPPPPPP/R1BQKB1R w KQkq - 0 5,Thank you very much!
9,Nxd8,c6d8,r1bNkb1r/pppppppp/8/8/8/2n5/PPPPPPPP/R1BQKB1R b KQkq - 0 5,Thank you very much!
10,Nxd1,c3d1,r1bNkb1r/pppppppp/8/8/8/8/PPPPPPPP/R1BnKB1R w KQkq - 0 6,Thank you very much!
11,Kxd1,e1d1,r1bNkb1r/pppppppp/8/8/8/8/PPPPPPPP/R1BK1B1R b kq - 0 6,Thank you very much!
12,Kxd8,e8d8,r1bk1b1r/pppppppp/8/8/8/8/PPPPPPPP/R1BK1B1R w - - 0 7,Thank you very much!
13,e4,e2e4,r1bk1b1r/pppppppp/8/8/4P3/8/PPPP1PPP/R1BK1B1R b - - 0 7,Thank you very much!
14,e5,e7e5,r1bk1b1r/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/R1BK1B1R w - - 0 8,Thank you very much!
15,c3,c2c3,r1bk1b1r/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/R1BK1B1R b - - 0 8,Thank you very much!
16,Bc5,f8c5,r1bk3r/pppp1ppp/8/2b1p3/4P3/2P5/PP1P1PPP/R1BK1B1R w - - 1 9,Thank you very much!
17,b4,b2b4,r1bk3r/pppp1ppp/8/2b1p3/1P2P3/2P5/P2P1PPP/R1BK1B1R b - - 0 9,Thank you very much!
18,Bxf2,c5f2,r1bk3r/pppp1ppp/8/4p3/1P2P3/2P5/P2P1bPP/R1BK1B1R w - - 0 10,Thank you very much!
19,a4,a2a4,r1bk3r/pppp1ppp/8/4p3/PP2P3/2P5/3P1bPP/R1BK1B1R b - - 0 10,And again!
20,c5,c7c5,r1bk3r/pp1p1ppp/8/2p1p3/PP2P3/2P5/3P1bPP/R1BK1B1R w - - 0 11,And again!
21,g3,g2g3,r1bk3r/pp1p1ppp/8/2p1p3/PP2P3/2P3P1/3P1b1P/R1BK1B1R b - - 0 11,And again!
22,cxb4,c5b4,r1bk3r/pp1p1ppp/8/4p3/Pp2P3/2P3P1/3P1b1P/R1BK1B1R w - - 0 12,And again!
23,Ke2,d1e2,r1bk3r/pp1p1ppp/8/4p3/Pp2P3/2P3P1/3PKb1P/R1B2B1R b - - 1 12,And again!
24,Bc5,f2c5,r1bk3r/pp1p1ppp/8/2b1p3/Pp2P3/2P3P1/3PK2P/R1B2B1R w - - 2 13,And again!
25,Rb1,a1b1,r1bk3r/pp1p1ppp/8/2b1p3/Pp2P3/2P3P1/3PK2P/1RB2B1R b - - 3 13,And again!
26,bxc3,b4c3,r1bk3r/pp1p1ppp/8/2b1p3/P3P3/2p3P1/3PK2P/1RB2B1R w - - 0 14,And again!
27,Rb5,b1b5,r1bk3r/pp1p1ppp/8/1Rb1p3/P3P3/2p3P1/3PK2P/2B2B1R b - - 1 14,And again!
28,cxd2,c3d2,r1bk3r/pp1p1ppp/8/1Rb1p3/P3P3/6P1/3pK2P/2B2B1R w - - 0 15,And again!
29,Bxd2,c1d2,r1bk3r/pp1p1ppp/8/1Rb1p3/P3P3/6P1/3BK2P/5B1R b - - 0 15,Five pawns already!
30,d6,d7d6,r1bk3r/pp3ppp/3p4/1Rb1p3/P3P3/6P1/3BK2P/5B1R w - - 0 16,Five pawns already!
31,Kf3,e2f3,r1bk3r/pp3ppp/3p4/1Rb1p3/P3P3/5KP1/3B3P/5B1R b - - 1 16,Five pawns already!
32,a6,a7a6,r1bk3r/1p3ppp/p2p4/1Rb1p3/P3P3/5KP1/3B3P/5B1R w - - 0 17,Five pawns already!
33,Rb3,b5b3,r1bk3r/1p3ppp/p2p4/2b1p3/P3P3/1R3KP1/3B3P/5B1R b - - 1 17,Five pawns already!
34,Be6,c8e6,r2k3r/1p3ppp/p2pb3/2b1p3/P3P3/1R3KP1/3B3P/5B1R w - - 2 18,Five pawns already!
35,Rd3,b3d3,r2k3r/1p3ppp/p2pb3/2b1p3/P3P3/3R1KP1/3B3P/5B1R b - - 3 18,Five pawns already!
36,f5,f7f5,r2k3r/1p4pp/p2pb3/2b1pp2/P3P3/3R1KP1/3B3P/5B1R w - - 0 19,Five pawns already!
37,Be2,f1e2,r2k3r/1p4pp/p2pb3/2b1pp2/P3P3/3R1KP1/3BB2P/7R b - - 1 19,Five pawns already!
38,fxe4+,f5e4,r2k3r/1p4pp/p2pb3/2b1p3/P3p3/3R1KP1/3BB2P/7R w - - 0 20,Five pawns already!
39,Kxe4,f3e4,r2k3r/1p4pp/p2pb3/2b1p3/P3K3/3R2P1/3BB2P/7R b - - 0 20,Time to move
40,Rf8,h8f8,r2k1r2/1p4pp/p2pb3/2b1p3/P3K3/3R2P1/3BB2P/7R w - - 1 21,Time to move
