N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,Nh3,g1h3,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1,White opened weak Kh3
2,b6,b7b6,rnbqkbnr/p1pppppp/1p6/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 0 2,I decided to try to finicheto my LSB on the next move.
3,e4,e2e4,rnbqkbnr/p1pppppp/1p6/8/4P3/7N/PPPP1PPP/RNBQKB1R b KQkq - 0 2,Now white opens to the center to e4 on 2nd move
4,Bb7,c8b7,rn1qkbnr/pbpppppp/1p6/8/4P3/7N/PPPP1PPP/RNBQKB1R w KQkq - 1 3,following my plan I put bishop in place.
5,Nc3,b1c3,rn1qkbnr/pbpppppp/1p6/8/4P3/2N4N/PPPP1PPP/R1BQKB1R b KQkq - 2 3,white continues to develop bring out a Knight.
6,e5,e7e5,rn1qkbnr/pbpp1ppp/1p6/4p3/4P3/2N4N/PPPP1PPP/R1BQKB1R w KQkq - 0 4,I decided to stop any further advancement of whites pawn on e4
7,g3,g2g3,rn1qkbnr/pbpp1ppp/1p6/4p3/4P3/2N3PN/PPPP1P1P/R1BQKB1R b KQkq - 0 4,white seems to want to get the lsb to g2 like I did at b7
8,d5,d7d5,rn1qkbnr/pbp2ppp/1p6/3pp3/4P3/2N3PN/PPPP1P1P/R1BQKB1R w KQkq - 0 5,I bring out my pawn to d5
9,Nxd5,c3d5,rn1qkbnr/pbp2ppp/1p6/3Np3/4P3/6PN/PPPP1P1P/R1BQKB1R b KQkq - 0 5,White takes my pawn with a knight
10,c6,c7c6,rn1qkbnr/pb3ppp/1pp5/3Np3/4P3/6PN/PPPP1P1P/R1BQKB1R w KQkq - 0 6,I am down a pawn and decide to just move a pawn up to attack the knight.
11,Nc3,d5c3,rn1qkbnr/pb3ppp/1pp5/4p3/4P3/2N3PN/PPPP1P1P/R1BQKB1R b KQkq - 1 6,The knight retreats
12,Bd6,f8d6,rn1qk1nr/pb3ppp/1ppb4/4p3/4P3/2N3PN/PPPP1P1P/R1BQKB1R w KQkq - 2 7,I bring out my dsb to d6
13,Bg2,f1g2,rn1qk1nr/pb3ppp/1ppb4/4p3/4P3/2N3PN/PPPP1PBP/R1BQK2R b KQkq - 3 7,white finichettos to g2
14,Nf6,g8f6,rn1qk2r/pb3ppp/1ppb1n2/4p3/4P3/2N3PN/PPPP1PBP/R1BQK2R w KQkq - 4 8,I continue with development of my knight allowing to castle King side in the future if I even need to
15,O-O,e1g1,rn1qk2r/pb3ppp/1ppb1n2/4p3/4P3/2N3PN/PPPP1PBP/R1BQ1RK1 b kq - 5 8,White castles O-O
16,Ba6,b7a6,rn1qk2r/p4ppp/bppb1n2/4p3/4P3/2N3PN/PPPP1PBP/R1BQ1RK1 w kq - 6 9,I move my lsb to a6 attacking the rook on f1
17,Ng5,h3g5,rn1qk2r/p4ppp/bppb1n2/4p1N1/4P3/2N3P1/PPPP1PBP/R1BQ1RK1 b kq - 7 9,white bring knight out to g5 on my king side
18,Qe7,d8e7,rn2k2r/p3qppp/bppb1n2/4p1N1/4P3/2N3P1/PPPP1PBP/R1BQ1RK1 w kq - 8 10,I choose to move my queen to e7
19,f4,f2f4,rn2k2r/p3qppp/bppb1n2/4p1N1/4PP2/2N3P1/PPPP2BP/R1BQ1RK1 b kq - 0 10,White moves pawn to f4 attacking my e5 pawn
20,Bc5+,d6c5,rn2k2r/p3qppp/bpp2n2/2b1p1N1/4PP2/2N3P1/PPPP2BP/R1BQ1RK1 w kq - 1 11,I check moving DSB to c5
