N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"This game was probably my very first game I ever started. I signed up and wanted to get right to it, and this game was available. But unlike my last annotation, I am playing black, I have played white in just about every game."
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"I still start with my classic opening move, e5."
3,c4,c2c4,rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Transposing into the English Defense I see
4,Nf6,g8f6,rnbqkb1r/pppp1ppp/5n2/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 1 3,There are some games where I use my knights more and there are some games where I use my bishops more. I determine which one I will be using by getting rid of the other type.
5,d3,d2d3,rnbqkb1r/pppp1ppp/5n2/4p3/2P1P3/3P4/PP3PPP/RNBQKBNR b KQkq - 0 3,There are some games where I use my knights more and there are some games where I use my bishops more. I determine which one I will be using by getting rid of the other type.
6,Bb4+,f8b4,rnbqk2r/pppp1ppp/5n2/4p3/1bP1P3/3P4/PP3PPP/RNBQKBNR w KQkq - 1 4,There are some games where I use my knights more and there are some games where I use my bishops more. I determine which one I will be using by getting rid of the other type.
7,Bd2,c1d2,rnbqk2r/pppp1ppp/5n2/4p3/1bP1P3/3P4/PP1B1PPP/RN1QKBNR b KQkq - 2 4,Like that
8,Bxd2+,b4d2,rnbqk2r/pppp1ppp/5n2/4p3/2P1P3/3P4/PP1b1PPP/RN1QKBNR w KQkq - 0 5,Like that
9,Nxd2,b1d2,rnbqk2r/pppp1ppp/5n2/4p3/2P1P3/3P4/PP1N1PPP/R2QKBNR b KQkq - 0 5,Maybe I did Ng4 just to waste a move. Nothing is really going on.
10,O-O,e8g8,rnbq1rk1/pppp1ppp/5n2/4p3/2P1P3/3P4/PP1N1PPP/R2QKBNR w KQ - 1 6,Maybe I did Ng4 just to waste a move. Nothing is really going on.
11,Ngf3,g1f3,rnbq1rk1/pppp1ppp/5n2/4p3/2P1P3/3P1N2/PP1N1PPP/R2QKB1R b KQ - 2 6,Maybe I did Ng4 just to waste a move. Nothing is really going on.
