N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,ugly victim of war...
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,ugly victim of war...
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,ugly victim of war...
4,Nf6,g8f6,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,ugly victim of war...
5,Nc3,b1c3,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,ugly victim of war...
6,c6,c7c6,rnbqkb1r/pp1p1ppp/2p2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,ugly victim of war...
7,Bc4,f1c4,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,ugly victim of war...
8,b5,b7b5,rnbqkb1r/p2p1ppp/2p2n2/1p2p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,ugly victim of war...
9,Bb3,c4b3,rnbqkb1r/p2p1ppp/2p2n2/1p2p3/4P3/1BN2N2/PPPP1PPP/R1BQK2R b KQkq - 1 5,ugly victim of war...
10,c5,c6c5,rnbqkb1r/p2p1ppp/5n2/1pp1p3/4P3/1BN2N2/PPPP1PPP/R1BQK2R w KQkq - 0 6,ugly victim of war...
11,Nxb5,c3b5,rnbqkb1r/p2p1ppp/5n2/1Np1p3/4P3/1B3N2/PPPP1PPP/R1BQK2R b KQkq - 0 6,ugly victim of war...
12,Bb7,c8b7,rn1qkb1r/pb1p1ppp/5n2/1Np1p3/4P3/1B3N2/PPPP1PPP/R1BQK2R w KQkq - 1 7,weak point...
13,d3,d2d3,rn1qkb1r/pb1p1ppp/5n2/1Np1p3/4P3/1B1P1N2/PPP2PPP/R1BQK2R b KQkq - 0 7,weak point...
14,a6,a7a6,rn1qkb1r/1b1p1ppp/p4n2/1Np1p3/4P3/1B1P1N2/PPP2PPP/R1BQK2R w KQkq - 0 8,weak point...
15,Nc3,b5c3,rn1qkb1r/1b1p1ppp/p4n2/2p1p3/4P3/1BNP1N2/PPP2PPP/R1BQK2R b KQkq - 1 8,weak point...
16,d5,d7d5,rn1qkb1r/1b3ppp/p4n2/2ppp3/4P3/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 0 9,weak point...
17,exd5,e4d5,rn1qkb1r/1b3ppp/p4n2/2pPp3/8/1BNP1N2/PPP2PPP/R1BQK2R b KQkq - 0 9,weak point...
18,Nxd5,f6d5,rn1qkb1r/1b3ppp/p7/2pnp3/8/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 0 10,weak point...
19,Nxd5,c3d5,rn1qkb1r/1b3ppp/p7/2pNp3/8/1B1P1N2/PPP2PPP/R1BQK2R b KQkq - 0 10,weak point...
20,Bxd5,b7d5,rn1qkb1r/5ppp/p7/2pbp3/8/1B1P1N2/PPP2PPP/R1BQK2R w KQkq - 0 11,weak point...
21,Ba4+,b3a4,rn1qkb1r/5ppp/p7/2pbp3/B7/3P1N2/PPP2PPP/R1BQK2R b KQkq - 1 11,weak point...
22,Nc6,b8c6,r2qkb1r/5ppp/p1n5/2pbp3/B7/3P1N2/PPP2PPP/R1BQK2R w KQkq - 2 12,weak point...
23,Nxe5,f3e5,r2qkb1r/5ppp/p1n5/2pbN3/B7/3P4/PPP2PPP/R1BQK2R b KQkq - 0 12,weak point...
24,Qe7,d8e7,r3kb1r/4qppp/p1n5/2pbN3/B7/3P4/PPP2PPP/R1BQK2R w KQkq - 1 13,weak point...
25,Bxc6+,a4c6,r3kb1r/4qppp/p1B5/2pbN3/8/3P4/PPP2PPP/R1BQK2R b KQkq - 0 13,weak point...
