N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Petrov's defence.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Petrov's defence.
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Petrov's defence.
4,Nf6,g8f6,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Petrov's defence.
5,Nxe5,f3e5,rnbqkb1r/pppp1ppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,This is where things change a little.
6,Qe7,d8e7,rnb1kb1r/ppppqppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 1 4,This is where things change a little.
7,d4,d2d4,rnb1kb1r/ppppqppp/5n2/4N3/3PP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,The crux of the opening is based around white's next move.
8,d6,d7d6,rnb1kb1r/ppp1qppp/3p1n2/4N3/3PP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,The crux of the opening is based around white's next move.
9,Nf3,e5f3,rnb1kb1r/ppp1qppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 5,The crux of the opening is based around white's next move.
10,Nxe4,f6e4,rnb1kb1r/ppp1qppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,The crux of the opening is based around white's next move.
11,Bd3,f1d3,rnb1kb1r/ppp1qppp/3p4/8/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 6,Bce2 or Qe2 would save White his queen.
12,Nc3+,e4c3,rnb1kb1r/ppp1qppp/3p4/8/3P4/2nB1N2/PPP2PPP/RNBQK2R w KQkq - 2 7,"And a beautiful discovered attack wins black the queen. At this point black resigns.

Note that this opening is fairly dangerous to play because it allows white to develop much quicker than black. However, it is a fun little opening that basically wins you the game when it works!"
