N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,first you move your kings pawn up 2
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,than your opponent will do something like this
3,Qf3,d1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5Q2/PPPP1PPP/RNB1KBNR b KQkq - 1 2,next you move your queen 2 f3
4,a5,a7a5,rnbqkbnr/1ppp1ppp/8/p3p3/4P3/5Q2/PPPP1PPP/RNB1KBNR w KQkq - 0 3,a move from your opponent
5,Bc4,f1c4,rnbqkbnr/1ppp1ppp/8/p3p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 3,next Bishop to c4
6,Ra6,a8a6,1nbqkbnr/1ppp1ppp/r7/p3p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR w KQk - 2 4,opponents move
7,Qxf7#,f3f7,1nbqkbnr/1ppp1Qpp/r7/p3p3/2B1P3/8/PPPP1PPP/RNB1K1NR b KQk - 0 4,Next queen to f7 for the checkmate
