N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,A normal openning
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,A normal opening
3,Bc4,f1c4,rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,It's an attackive move
4,Nc6,b8c6,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,Might try and get scholars mate if not I'll take his pawn
5,Qh5,d1h5,r1bqkbnr/pp1ppppp/2n5/2p4Q/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq - 3 3,Might try and get scholars mate if not I'll take his pawn
6,Nf6,g8f6,r1bqkb1r/pp1ppppp/2n2n2/2p4Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 4 4,Trys to take my king
7,Qxf7#,h5f7,r1bqkb1r/pp1ppQpp/2n2n2/2p5/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq - 0 4,"So I scholars mate 
That game was long"
