N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,black opts for Sicillian Defense...
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,black opts for Sicillian Defense...
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
4,Nc6,b8c6,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
5,Bb5,f1b5,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
6,e6,e7e6,r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
7,Bxc6,b5c6,r1bqkbnr/pp1p1ppp/2B1p3/2p5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
8,bxc6,b7c6,r1bqkbnr/p2p1ppp/2p1p3/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
9,O-O,e1g1,r1bqkbnr/p2p1ppp/2p1p3/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 5,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
10,d5,d7d5,r1bqkbnr/p4ppp/2p1p3/2pp4/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
11,d3,d2d3,r1bqkbnr/p4ppp/2p1p3/2pp4/4P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
12,Ne7,g8e7,r1bqkb1r/p3nppp/2p1p3/2pp4/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 1 7,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
13,c4,c2c4,r1bqkb1r/p3nppp/2p1p3/2pp4/2P1P3/3P1N2/PP3PPP/RNBQ1RK1 b kq - 0 7,"White continues to avoid initiating the pawn exchange, as that will allow black to un-double his c-pawns."
