N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,Nf3,g1f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,The reti opening
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,Transposes to the Queen pawn's game.
3,d4,d2d4,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,Transposes to the Queen pawn's game.
4,Nf6,g8f6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,Transposes to the Queen pawn's game.
5,c3,c2c3,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,I don't see much point behind this move.
6,Bf5,c8f5,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 1 4,I don't see much point behind this move.
7,Nbd2,b1d2,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2P2N2/PP1NPPPP/R1BQKB1R b KQkq - 2 4,I don't see much point behind this move.
8,e6,e7e6,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/2P2N2/PP1NPPPP/R1BQKB1R w KQkq - 0 5,I don't see much point behind this move.
9,Ne5,f3e5,rn1qkb1r/ppp2ppp/4pn2/3pNb2/3P4/2P5/PP1NPPPP/R1BQKB1R b KQkq - 1 5,I don't see much point behind this move.
10,c5,c7c5,rn1qkb1r/pp3ppp/4pn2/2ppNb2/3P4/2P5/PP1NPPPP/R1BQKB1R w KQkq - 0 6,Black has equalized.
11,Qa4+,d1a4,rn1qkb1r/pp3ppp/4pn2/2ppNb2/Q2P4/2P5/PP1NPPPP/R1B1KB1R b KQkq - 1 6,Black has equalized.
12,Nbd7,b8d7,r2qkb1r/pp1n1ppp/4pn2/2ppNb2/Q2P4/2P5/PP1NPPPP/R1B1KB1R w KQkq - 2 7,Black has equalized.
13,Nxd7,e5d7,r2qkb1r/pp1N1ppp/4pn2/2pp1b2/Q2P4/2P5/PP1NPPPP/R1B1KB1R b KQkq - 0 7,Black has equalized.
14,Qxd7,d8d7,r3kb1r/pp1q1ppp/4pn2/2pp1b2/Q2P4/2P5/PP1NPPPP/R1B1KB1R w KQkq - 0 8,Black has equalized.
15,Qxd7+,a4d7,r3kb1r/pp1Q1ppp/4pn2/2pp1b2/3P4/2P5/PP1NPPPP/R1B1KB1R b KQkq - 0 8,Black has equalized.
16,Nxd7,f6d7,r3kb1r/pp1n1ppp/4p3/2pp1b2/3P4/2P5/PP1NPPPP/R1B1KB1R w KQkq - 0 9,Black has equalized.
17,dxc5,d4c5,r3kb1r/pp1n1ppp/4p3/2Pp1b2/8/2P5/PP1NPPPP/R1B1KB1R b KQkq - 0 9,Black has equalized.
18,Bxc5,f8c5,r3k2r/pp1n1ppp/4p3/2bp1b2/8/2P5/PP1NPPPP/R1B1KB1R w KQkq - 0 10,Black has equalized.
19,Nb3,d2b3,r3k2r/pp1n1ppp/4p3/2bp1b2/8/1NP5/PP2PPPP/R1B1KB1R b KQkq - 1 10,Black is ahead in development.
20,O-O,e8g8,r4rk1/pp1n1ppp/4p3/2bp1b2/8/1NP5/PP2PPPP/R1B1KB1R w KQ - 2 11,Black is ahead in development.
21,e3,e2e3,r4rk1/pp1n1ppp/4p3/2bp1b2/8/1NP1P3/PP3PPP/R1B1KB1R b KQ - 0 11,A waiting move.
22,a6,a7a6,r4rk1/1p1n1ppp/p3p3/2bp1b2/8/1NP1P3/PP3PPP/R1B1KB1R w KQ - 0 12,A waiting move.
23,Nd4,b3d4,r4rk1/1p1n1ppp/p3p3/2bp1b2/3N4/2P1P3/PP3PPP/R1B1KB1R b KQ - 1 12,Retaining the bishop since it might have some prospects on the b1-h7 diagonal and it stops White's LSB from going to d3.
24,Bg6,f5g6,r4rk1/1p1n1ppp/p3p1b1/2bp4/3N4/2P1P3/PP3PPP/R1B1KB1R w KQ - 2 13,Retaining the bishop since it might have some prospects on the b1-h7 diagonal and it stops White's LSB from going to d3.
25,Be2,f1e2,r4rk1/1p1n1ppp/p3p1b1/2bp4/3N4/2P1P3/PP2BPPP/R1B1K2R b KQ - 3 13,Black's center is very terrifying
26,e5,e6e5,r4rk1/1p1n1ppp/p5b1/2bpp3/3N4/2P1P3/PP2BPPP/R1B1K2R w KQ - 0 14,Black's center is very terrifying
27,Nb3,d4b3,r4rk1/1p1n1ppp/p5b1/2bpp3/8/1NP1P3/PP2BPPP/R1B1K2R b KQ - 1 14,Black's center is very terrifying
28,Rac8,a8c8,2r2rk1/1p1n1ppp/p5b1/2bpp3/8/1NP1P3/PP2BPPP/R1B1K2R w KQ - 2 15,Black's center is very terrifying
29,O-O,e1g1,2r2rk1/1p1n1ppp/p5b1/2bpp3/8/1NP1P3/PP2BPPP/R1B2RK1 b - - 3 15,Black's center is very terrifying
30,Rfd8,f8d8,2rr2k1/1p1n1ppp/p5b1/2bpp3/8/1NP1P3/PP2BPPP/R1B2RK1 w - - 4 16,Black's center is very terrifying
31,Bg4,e2g4,2rr2k1/1p1n1ppp/p5b1/2bpp3/6B1/1NP1P3/PP3PPP/R1B2RK1 b - - 5 16,Black's center is very terrifying
32,f5,f7f5,2rr2k1/1p1n2pp/p5b1/2bppp2/6B1/1NP1P3/PP3PPP/R1B2RK1 w - - 0 17,Black's center is very terrifying
33,Bh3,g4h3,2rr2k1/1p1n2pp/p5b1/2bppp2/8/1NP1P2B/PP3PPP/R1B2RK1 b - - 1 17,Black's center is very terrifying
34,Nf6,d7f6,2rr2k1/1p4pp/p4nb1/2bppp2/8/1NP1P2B/PP3PPP/R1B2RK1 w - - 2 18,Finally taking on c5.
35,Nxc5,b3c5,2rr2k1/1p4pp/p4nb1/2Nppp2/8/2P1P2B/PP3PPP/R1B2RK1 b - - 0 18,Finally taking on c5.
