N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,This is going to be the longest game ever played at gameknot.com.  Keep an eye on it! (:  I opened with the traditional e4.
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"Over a month later, use the pawn responded with c5 which is the start of the english opening."
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,I followed this up with knight to f3.  Right after this I started student teaching and became really busy....only 1 move occurred between January 2008 and May 2008!
4,d6,d7d6,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"On May 24th, 2008, usethepawn finally made the next move which looked to be possibly a start of an attack on the queen side."
5,c3,c2c3,rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,"I followed up with c3 on June 19, 2008.  This way I could force d4 on my next move."
6,Nf6,g8f6,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 1 4,"October 15th, 2008."
7,Qc2,d1c2,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2P2N2/PPQP1PPP/RNB1KB1R b KQkq - 2 4,"October 15th, 2008."
8,Nc6,b8c6,r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2P2N2/PPQP1PPP/RNB1KB1R w KQkq - 3 5,"October 15th, 2008."
