N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"Hi everyone!

I have been trying to find a game to annotate which involved yours truly and a fellow Bigpeta Club member.  I think it may be best to fish out one of my games with Coach Ion which I did not get round to annotate.  Sadly it was not one of my best efforts against The Coach and indeed I was absolutely steamrollered!  However, it does have some interest value because the guy who ran this mini-tournament was Freddy the Master Mater.  Freddy just lurves to play unusual openings and this is one of his experiments.  Anyhow, this is the Traxler (Wilkes-Barre Opening) arising out of the Two Knights Defense."
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,3. ..... Nf6 - this is the Two Knights Defense.  Now comes the first wild move.
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,3. ..... Nf6 - this is the Two Knights Defense.  Now comes the first wild move.
4,Nc6,b8c6,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,3. ..... Nf6 - this is the Two Knights Defense.  Now comes the first wild move.
5,Bc4,f1c4,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,3. ..... Nf6 - this is the Two Knights Defense.  Now comes the first wild move.
6,Nf6,g8f6,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,3. ..... Nf6 - this is the Two Knights Defense.  Now comes the first wild move.
7,Ng5,f3g5,r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4,4. Ng5 - which hits out at f7 threatening a knight fork.
8,Bc5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq - 6 5,4. ..... Bc5 - of which black ignores.  Yee Ha - this is the Traxler - guys and dolls!
9,Nxf7,g5f7,r1bqk2r/pppp1Npp/2n2n2/2b1p3/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 0 5,5. Nxf7 - fork.
10,Bxf2+,c5f2,r1bqk2r/pppp1Npp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQK2R w KQkq - 0 6,6. Kf1 - if Henry takes the dsb then Nxe4+ is not pleasant.
11,Kf1,e1f1,r1bqk2r/pppp1Npp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQ1K1R b kq - 1 6,6. Kf1 - if Henry takes the dsb then Nxe4+ is not pleasant.
12,Qe7,d8e7,r1b1k2r/ppppqNpp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQ1K1R w kq - 2 7,"8. Nxh8 - gobble, gobble!"
13,Nxh8,f7h8,r1b1k2N/ppppq1pp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQ1K1R b q - 0 7,"8. Nxh8 - gobble, gobble!"
14,d5,d7d5,r1b1k2N/ppp1q1pp/2n2n2/3pp3/2B1P3/8/PPPP1bPP/RNBQ1K1R w q - 0 8,8. ...... Nd4 - in come the cavalry!
