N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,French
2,e6,e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,French
3,d4,d2d4,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"2. ... a5 
I won few games playing black with that variation"
4,a5,a7a5,rnbqkbnr/1ppp1ppp/4p3/p7/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"2. ... a5 
I won few games playing black with that variation"
5,Nf3,g1f3,rnbqkbnr/1ppp1ppp/4p3/p7/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,"3. ... Bb4

the aim is 4. c3 occupying the knight's place"
6,Bb4+,f8b4,rnbqk1nr/1ppp1ppp/4p3/p7/1b1PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,"3. ... Bb4

the aim is 4. c3 occupying the knight's place"
7,c3,c2c3,rnbqk1nr/1ppp1ppp/4p3/p7/1b1PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,Center is under control
8,Be7,b4e7,rnbqk1nr/1pppbppp/4p3/p7/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 5,Center is under control
9,Bc4,f1c4,rnbqk1nr/1pppbppp/4p3/p7/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 2 5,Center is under control
10,Nf6,g8f6,rnbqk2r/1pppbppp/4pn2/p7/2BPP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 3 6,Center is under control
11,Qe2,d1e2,rnbqk2r/1pppbppp/4pn2/p7/2BPP3/2P2N2/PP2QPPP/RNB1K2R b KQkq - 4 6,Center is under control
12,O-O,e8g8,rnbq1rk1/1pppbppp/4pn2/p7/2BPP3/2P2N2/PP2QPPP/RNB1K2R w KQ - 5 7,Center is under control
13,O-O,e1g1,rnbq1rk1/1pppbppp/4pn2/p7/2BPP3/2P2N2/PP2QPPP/RNB2RK1 b - - 6 7,Center is under control
14,b6,b7b6,rnbq1rk1/2ppbppp/1p2pn2/p7/2BPP3/2P2N2/PP2QPPP/RNB2RK1 w - - 0 8,Center is under control
15,Bf4,c1f4,rnbq1rk1/2ppbppp/1p2pn2/p7/2BPPB2/2P2N2/PP2QPPP/RN3RK1 b - - 1 8,Center is under control
