N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Otra respuesta a la ESCOSESA !!
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,para muchos es mejor Cf6
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,para muchos es mejor Cf6
4,Nc6,b8c6,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,para muchos es mejor Cf6
5,d4,d2d4,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,para muchos es mejor Cf6
6,exd4,e5d4,r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,para muchos es mejor Cf6
7,c3,c2c3,r1bqkbnr/pppp1ppp/2n5/8/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,para muchos es mejor Cf6
8,dxc3,d4c3,r1bqkbnr/pppp1ppp/2n5/8/4P3/2p2N2/PP3PPP/RNBQKB1R w KQkq - 0 5,para muchos es mejor Cf6
9,Bc4,f1c4,r1bqkbnr/pppp1ppp/2n5/8/2B1P3/2p2N2/PP3PPP/RNBQK2R b KQkq - 1 5,para muchos es mejor Cf6
10,cxb2,c3b2,r1bqkbnr/pppp1ppp/2n5/8/2B1P3/5N2/Pp3PPP/RNBQK2R w KQkq - 0 6,para muchos es mejor Cf6
11,Bxb2,c1b2,r1bqkbnr/pppp1ppp/2n5/8/2B1P3/5N2/PB3PPP/RN1QK2R b KQkq - 0 6,para muchos es mejor Cf6
12,Bb4+,f8b4,r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/5N2/PB3PPP/RN1QK2R w KQkq - 1 7,para muchos es mejor Cf6
13,Nc3,b1c3,r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/2N2N2/PB3PPP/R2QK2R b KQkq - 2 7,para muchos es mejor Cf6
14,d6,d7d6,r1bqk1nr/ppp2ppp/2np4/8/1bB1P3/2N2N2/PB3PPP/R2QK2R w KQkq - 0 8,para muchos es mejor Cf6
15,O-O,e1g1,r1bqk1nr/ppp2ppp/2np4/8/1bB1P3/2N2N2/PB3PPP/R2Q1RK1 b kq - 1 8,estaba dudando en hacer esa. parece jugada insegura
16,Bxc3,b4c3,r1bqk1nr/ppp2ppp/2np4/8/2B1P3/2b2N2/PB3PPP/R2Q1RK1 w kq - 0 9,estaba dudando en hacer esa. parece jugada insegura
17,Bxc3,b2c3,r1bqk1nr/ppp2ppp/2np4/8/2B1P3/2B2N2/P4PPP/R2Q1RK1 b kq - 0 9,!!
18,Nf6,g8f6,r1bqk2r/ppp2ppp/2np1n2/8/2B1P3/2B2N2/P4PPP/R2Q1RK1 w kq - 1 10,!!
19,e5,e4e5,r1bqk2r/ppp2ppp/2np1n2/4P3/2B5/2B2N2/P4PPP/R2Q1RK1 b kq - 0 10,!!
20,dxe5,d6e5,r1bqk2r/ppp2ppp/2n2n2/4p3/2B5/2B2N2/P4PPP/R2Q1RK1 w kq - 0 11,Urgente . provocado por la inseguridad de varias jugadas
21,Nxe5,f3e5,r1bqk2r/ppp2ppp/2n2n2/4N3/2B5/2B5/P4PPP/R2Q1RK1 b kq - 0 11,Urgente . provocado por la inseguridad de varias jugadas
22,O-O,e8g8,r1bq1rk1/ppp2ppp/2n2n2/4N3/2B5/2B5/P4PPP/R2Q1RK1 w - - 1 12,Urgente . provocado por la inseguridad de varias jugadas
23,Nxc6,e5c6,r1bq1rk1/ppp2ppp/2N2n2/8/2B5/2B5/P4PPP/R2Q1RK1 b - - 0 12,Me siento mejot con el caballo en el centro del tablero
