N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Basic e4 opening
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,basic e4 return
3,Bc4,f1c4,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,Bishops opening is back
4,f6,f7f6,rnbqkbnr/pppp2pp/5p2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,ohhh finally a defense
5,c3,c2c3,rnbqkbnr/pppp2pp/5p2/4p3/2B1P3/2P5/PP1P1PPP/RNBQK1NR b KQkq - 0 3,getting ready for a great move.....
6,Ne7,g8e7,rnbqkb1r/ppppn1pp/5p2/4p3/2B1P3/2P5/PP1P1PPP/RNBQK1NR w KQkq - 1 4,BIG MISTAKE!! This is the prime reason for this mate in the first place.
7,Qb3,d1b3,rnbqkb1r/ppppn1pp/5p2/4p3/2B1P3/1QP5/PP1P1PPP/RNB1K1NR b KQkq - 2 4,Getting ready to attack......
8,b5,b7b5,rnbqkb1r/p1ppn1pp/5p2/1p2p3/2B1P3/1QP5/PP1P1PPP/RNB1K1NR w KQkq - 0 5,???? A horrible move!
9,Bf7#,c4f7,rnbqkb1r/p1ppnBpp/5p2/1p2p3/4P3/1QP5/PP1P1PPP/RNB1K1NR b KQkq - 1 5,Easy mate.
