N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,Moving out my pawn
2,e6,e7e6,rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,Black moves out the pawn
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/4p3/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,Moving out the knight
4,Na6,b8a6,r1bqkbnr/pppp1ppp/n3p3/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,Not a good move for Black; better to do Nc6 instead.
5,Nc3,b1c3,r1bqkbnr/pppp1ppp/n3p3/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,Moving out my knight
6,b6,b7b6,r1bqkbnr/p1pp1ppp/np2p3/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,Black probably wants to do Bb7 with this move.
7,e3,e2e3,r1bqkbnr/p1pp1ppp/np2p3/8/3P4/2N1PN2/PPP2PPP/R1BQKB1R b KQkq - 0 4,Protecting my pawn
8,Nb4,a6b4,r1bqkbnr/p1pp1ppp/1p2p3/8/1n1P4/2N1PN2/PPP2PPP/R1BQKB1R w KQkq - 1 5,Black moves his knight forward
9,a3,a2a3,r1bqkbnr/p1pp1ppp/1p2p3/8/1n1P4/P1N1PN2/1PP2PPP/R1BQKB1R b KQkq - 0 5,Threatening the knight
10,Nc6,b4c6,r1bqkbnr/p1pp1ppp/1pn1p3/8/3P4/P1N1PN2/1PP2PPP/R1BQKB1R w KQkq - 1 6,Moving the knight out of the way
11,Bb5,f1b5,r1bqkbnr/p1pp1ppp/1pn1p3/1B6/3P4/P1N1PN2/1PP2PPP/R1BQK2R b KQkq - 2 6,Threatening the knight
12,Nb8,c6b8,rnbqkbnr/p1pp1ppp/1p2p3/1B6/3P4/P1N1PN2/1PP2PPP/R1BQK2R w KQkq - 3 7,"Instead of doing this move to keep the knight safe, it might have been better to do Ne7."
13,Bd2,c1d2,rnbqkbnr/p1pp1ppp/1p2p3/1B6/3P4/P1N1PN2/1PPB1PPP/R2QK2R b KQkq - 4 7,Preparing to move out my bishop.
14,a5,a7a5,rnbqkbnr/2pp1ppp/1p2p3/pB6/3P4/P1N1PN2/1PPB1PPP/R2QK2R w KQkq - 0 8,"Black moves out the pawn. If I were in this position, I would have moved it to a6 instead to force me to move the bishop."
15,Ne5,f3e5,rnbqkbnr/2pp1ppp/1p2p3/pB2N3/3P4/P1N1P3/1PPB1PPP/R2QK2R b KQkq - 1 8,Moving the knight forward
16,Nf6,g8f6,rnbqkb1r/2pp1ppp/1p2pn2/pB2N3/3P4/P1N1P3/1PPB1PPP/R2QK2R w KQkq - 2 9,Black moves out the knight
17,O-O,e1g1,rnbqkb1r/2pp1ppp/1p2pn2/pB2N3/3P4/P1N1P3/1PPB1PPP/R2Q1RK1 b kq - 3 9,Castling
18,Nd5,f6d5,rnbqkb1r/2pp1ppp/1p2p3/pB1nN3/3P4/P1N1P3/1PPB1PPP/R2Q1RK1 w kq - 4 10,Moving the knight out
19,Nxd5,c3d5,rnbqkb1r/2pp1ppp/1p2p3/pB1NN3/3P4/P3P3/1PPB1PPP/R2Q1RK1 b kq - 0 10,I take the knight
20,exd5,e6d5,rnbqkb1r/2pp1ppp/1p6/pB1pN3/3P4/P3P3/1PPB1PPP/R2Q1RK1 w kq - 0 11,Black responds
