N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,Crni odvezuje konja...
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,Crni odvezuje konja...
3,c4,c2c4,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,Crni odvezuje konja...
4,c6,c7c6,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Crni odvezuje konja...
5,e3,e2e3,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Crni odvezuje konja...
6,Nf6,g8f6,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 4,Crni odvezuje konja...
7,Nc3,b1c3,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 2 4,Crni odvezuje konja...
8,e6,e7e6,rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 5,Crni odvezuje konja...
9,Nf3,g1f3,rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 1 5,Crni odvezuje konja...
10,Nbd7,b8d7,r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 2 6,Crni odvezuje konja...
11,Bd3,f1d3,r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 3 6,Crni odvezuje konja...
12,dxc4,d5c4,r1bqkb1r/pp1n1ppp/2p1pn2/8/2pP4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 0 7,Crni odvezuje konja...
13,Bxc4,d3c4,r1bqkb1r/pp1n1ppp/2p1pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R b KQkq - 0 7,Crni odvezuje konja...
14,b5,b7b5,r1bqkb1r/p2n1ppp/2p1pn2/1p6/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq - 0 8,Crni odvezuje konja...
15,Bd3,c4d3,r1bqkb1r/p2n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 1 8,Crni odvezuje konja...
16,Bb7,c8b7,r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 2 9,Crni odvezuje konja...
17,O-O,e1g1,r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQ1RK1 b kq - 3 9,Crni odvezuje konja...
18,a6,a7a6,r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQ1RK1 w kq - 0 10,Crni odvezuje konja...
19,e4,e3e4,r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 0 10,Crni odvezuje konja...
20,c5,c6c5,r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq - 0 11,Crni odvezuje konja...
21,e5,e4e5,r2qkb1r/1b1n1ppp/p3pn2/1pp1P3/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 0 11,Crni odvezuje konja...
22,cxd4,c5d4,r2qkb1r/1b1n1ppp/p3pn2/1p2P3/3p4/2NB1N2/PP3PPP/R1BQ1RK1 w kq - 0 12,Crni odvezuje konja...
23,Nxb5,c3b5,r2qkb1r/1b1n1ppp/p3pn2/1N2P3/3p4/3B1N2/PP3PPP/R1BQ1RK1 b kq - 0 12,Crni odvezuje konja...
24,axb5,a6b5,r2qkb1r/1b1n1ppp/4pn2/1p2P3/3p4/3B1N2/PP3PPP/R1BQ1RK1 w kq - 0 13,Crni odvezuje konja...
25,exf6,e5f6,r2qkb1r/1b1n1ppp/4pP2/1p6/3p4/3B1N2/PP3PPP/R1BQ1RK1 b kq - 0 13,Crni odvezuje konja...
26,Qxf6,d8f6,r3kb1r/1b1n1ppp/4pq2/1p6/3p4/3B1N2/PP3PPP/R1BQ1RK1 w kq - 0 14,Crni odvezuje konja...
27,Bxb5,d3b5,r3kb1r/1b1n1ppp/4pq2/1B6/3p4/5N2/PP3PPP/R1BQ1RK1 b kq - 0 14,Crni odvezuje konja...
28,Bxf3,b7f3,r3kb1r/3n1ppp/4pq2/1B6/3p4/5b2/PP3PPP/R1BQ1RK1 w kq - 0 15,Crni odvezuje konja...
29,Qxf3,d1f3,r3kb1r/3n1ppp/4pq2/1B6/3p4/5Q2/PP3PPP/R1B2RK1 b kq - 0 15,Crni odvezuje konja...
30,Qxf3,f6f3,r3kb1r/3n1ppp/4p3/1B6/3p4/5q2/PP3PPP/R1B2RK1 w kq - 0 16,Crni odvezuje konja...
31,gxf3,g2f3,r3kb1r/3n1ppp/4p3/1B6/3p4/5P2/PP3P1P/R1B2RK1 b kq - 0 16,Crni odvezuje konja...
32,Bd6,f8d6,r3k2r/3n1ppp/3bp3/1B6/3p4/5P2/PP3P1P/R1B2RK1 w kq - 1 17,Crni odvezuje konja...
33,Rd1,f1d1,r3k2r/3n1ppp/3bp3/1B6/3p4/5P2/PP3P1P/R1BR2K1 b kq - 2 17,Crni odvezuje konja...
34,Bc5,d6c5,r3k2r/3n1ppp/4p3/1Bb5/3p4/5P2/PP3P1P/R1BR2K1 w kq - 3 18,Crni odvezuje konja...
35,a3,a2a3,r3k2r/3n1ppp/4p3/1Bb5/3p4/P4P2/1P3P1P/R1BR2K1 b kq - 0 18,Crni odvezuje konja...
36,Ke7,e8e7,r6r/3nkppp/4p3/1Bb5/3p4/P4P2/1P3P1P/R1BR2K1 w - - 1 19,Crni odvezuje konja...
37,b4,b2b4,r6r/3nkppp/4p3/1Bb5/1P1p4/P4P2/5P1P/R1BR2K1 b - - 0 19,Bijeli logično razvija pješaka i napada lovca..
38,Ba7,c5a7,r6r/b2nkppp/4p3/1B6/1P1p4/P4P2/5P1P/R1BR2K1 w - - 1 20,Slab potez bijelog: sada crni konj ima puno više prostora za manevar a i nepotrebno
39,f4,f3f4,r6r/b2nkppp/4p3/1B6/1P1p1P2/P7/5P1P/R1BR2K1 b - - 0 20,Slab potez bijelog: sada crni konj ima puno više prostora za manevar a i nepotrebno
40,Nf6,d7f6,r6r/b3kppp/4pn2/1B6/1P1p1P2/P7/5P1P/R1BR2K1 w - - 1 21,Bijeli vrši pritisak na centralnog piješaka- ispravno!
41,Bb2,c1b2,r6r/b3kppp/4pn2/1B6/1P1p1P2/P7/1B3P1P/R2R2K1 b - - 2 21,Bijeli vrši pritisak na centralnog piješaka- ispravno!
42,Rhd8,h8d8,r2r4/b3kppp/4pn2/1B6/1P1p1P2/P7/1B3P1P/R2R2K1 w - - 3 22,Trebalo je  prvo 22....Rac8 i nakon 23.Bd5 h6
43,Kg2,g1g2,r2r4/b3kppp/4pn2/1B6/1P1p1P2/P7/1B3PKP/R2R4 b - - 4 22,Trebalo je  prvo 22....Rac8 i nakon 23.Bd5 h6
44,Ne4,f6e4,r2r4/b3kppp/4p3/1B6/1P1pnP2/P7/1B3PKP/R2R4 w - - 5 23,Trebalo je  prvo 22....Rac8 i nakon 23.Bd5 h6
45,Rd3,d1d3,r2r4/b3kppp/4p3/1B6/1P1pnP2/P2R4/1B3PKP/R7 b - - 6 23,"Lovac na d3 je bilo bolje..(crni konj se mora vratit na f6 da čuva pješaka, a bijeli dobiva slobodan prostor za napredak pješaka po a i b liniji)"
46,Rac8,a8c8,2rr4/b3kppp/4p3/1B6/1P1pnP2/P2R4/1B3PKP/R7 w - - 7 24,"Velika pogreška crnog,sada se lovac izvlači i lagano otvara prostor pješacima..."
47,Re1,a1e1,2rr4/b3kppp/4p3/1B6/1P1pnP2/P2R4/1B3PKP/4R3 b - - 8 24,"Velika pogreška crnog,sada se lovac izvlači i lagano otvara prostor pješacima..."
48,Nd6,e4d6,2rr4/b3kppp/3np3/1B6/1P1p1P2/P2R4/1B3PKP/4R3 w - - 9 25,"Velika pogreška crnog,sada se lovac izvlači i lagano otvara prostor pješacima..."
49,Ba4,b5a4,2rr4/b3kppp/3np3/8/BP1p1P2/P2R4/1B3PKP/4R3 b - - 10 25,Ponovo greška crnog.sada bijeli povlači lovca i ima veliku priliku pješacima realizirati partiju
50,Nc4,d6c4,2rr4/b3kppp/4p3/8/BPnp1P2/P2R4/1B3PKP/4R3 w - - 11 26,Ponovo greška crnog.sada bijeli povlači lovca i ima veliku priliku pješacima realizirati partiju
51,Re2,e1e2,2rr4/b3kppp/4p3/8/BPnp1P2/P2R4/1B2RPKP/8 b - - 12 26,Ponovo greška crnog.sada bijeli povlači lovca i ima veliku priliku pješacima realizirati partiju
52,Nb6,c4b6,2rr4/b3kppp/1n2p3/8/BP1p1P2/P2R4/1B2RPKP/8 w - - 13 27,Ponovo greška crnog.sada bijeli povlači lovca i ima veliku priliku pješacima realizirati partiju
53,Bb3,a4b3,2rr4/b3kppp/1n2p3/8/1P1p1P2/PB1R4/1B2RPKP/8 b - - 14 27,Crni pokušava jeftino zaradit :)
54,Nd5,b6d5,2rr4/b3kppp/4p3/3n4/1P1p1P2/PB1R4/1B2RPKP/8 w - - 15 28,Crni pokušava jeftino zaradit :)
55,Kf3,g2f3,2rr4/b3kppp/4p3/3n4/1P1p1P2/PB1R1K2/1B2RP1P/8 b - - 16 28,Bijeli se polakomio za piješaka i napravio ključnu grešku koja je prelomila partiju:crni u idućih par poteza lijepom kombinacijom vraća piješaka i to sa b linije koja je predstavljala izuzetnu opasnost!
56,Nc3,d5c3,2rr4/b3kppp/4p3/8/1P1p1P2/PBnR1K2/1B2RP1P/8 w - - 17 29,Bijeli se polakomio za piješaka i napravio ključnu grešku koja je prelomila partiju:crni u idućih par poteza lijepom kombinacijom vraća piješaka i to sa b linije koja je predstavljala izuzetnu opasnost!
57,Rc2,e2c2,2rr4/b3kppp/4p3/8/1P1p1P2/PBnR1K2/1BR2P1P/8 b - - 18 29,Bijeli se polakomio za piješaka i napravio ključnu grešku koja je prelomila partiju:crni u idućih par poteza lijepom kombinacijom vraća piješaka i to sa b linije koja je predstavljala izuzetnu opasnost!
58,Nd5,c3d5,2rr4/b3kppp/4p3/3n4/1P1p1P2/PB1R1K2/1BR2P1P/8 w - - 19 30,Bijeli se polakomio za piješaka i napravio ključnu grešku koja je prelomila partiju:crni u idućih par poteza lijepom kombinacijom vraća piješaka i to sa b linije koja je predstavljala izuzetnu opasnost!
59,Bxd4,b2d4,2rr4/b3kppp/4p3/3n4/1P1B1P2/PB1R1K2/2R2P1P/8 b - - 0 30,Bijeli se polakomio za piješaka i napravio ključnu grešku koja je prelomila partiju:crni u idućih par poteza lijepom kombinacijom vraća piješaka i to sa b linije koja je predstavljala izuzetnu opasnost!
60,Nxb4,d5b4,2rr4/b3kppp/4p3/8/1n1B1P2/PB1R1K2/2R2P1P/8 w - - 0 31,Uzimanje pješaka sa b linije-odličan potez! Na 31.axb4 RxC8 32.Bxc8 Rxd4 crni opet vraća piješaka i bolje stoji!
61,Rxc8,c2c8,2Rr4/b3kppp/4p3/8/1n1B1P2/PB1R1K2/5P1P/8 b - - 0 31,Crni mora jest sa kulom: na 31...Nxd5 32.Rxd8 Kxg8 33.Bxa7 i bijeli ostaje s figurom više
62,Rxc8,d8c8,2r5/b3kppp/4p3/8/1n1B1P2/PB1R1K2/5P1P/8 w - - 0 32,Crni mora jest sa kulom: na 31...Nxd5 32.Rxd8 Kxg8 33.Bxa7 i bijeli ostaje s figurom više
63,axb4,a3b4,2r5/b3kppp/4p3/8/1P1B1P2/1B1R1K2/5P1P/8 b - - 0 32,"Bijeli ispravno ne želi razmjeniti lovce jer su raznobojni ,medjutim teško je sada u ovoj poziciji parirati crnom"
64,Bxd4,a7d4,2r5/4kppp/4p3/8/1P1b1P2/1B1R1K2/5P1P/8 w - - 0 33,"Bijeli ispravno ne želi razmjeniti lovce jer su raznobojni ,medjutim teško je sada u ovoj poziciji parirati crnom"
65,Ba4,b3a4,2r5/4kppp/4p3/8/BP1b1P2/3R1K2/5P1P/8 b - - 1 33,"Bijeli ispravno ne želi razmjeniti lovce jer su raznobojni ,medjutim teško je sada u ovoj poziciji parirati crnom"
66,Rc4,c8c4,8/4kppp/4p3/8/BPrb1P2/3R1K2/5P1P/8 w - - 2 34,"Velika greška bijeloga s kojom potpisuje poraz,trebalo je 34.Rb3 Bc3 35.b5"
67,Rd2,d3d2,8/4kppp/4p3/8/BPrb1P2/5K2/3R1P1P/8 b - - 3 34,"Velika greška bijeloga s kojom potpisuje poraz,trebalo je 34.Rb3 Bc3 35.b5"
