N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,to be in the centre.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,the same.
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,develop and attack.
4,d6,d7d6,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,protection.
5,Bc4,f1c4,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,develop and clear for castling.
6,Be6,c8e6,rn1qkbnr/ppp2ppp/3pb3/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,to break the pawns shine.
7,Bxe6,c4e6,rn1qkbnr/ppp2ppp/3pB3/4p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,to break the pawns shine.
8,fxe6,f7e6,rn1qkbnr/ppp3pp/3pp3/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,forced.
9,c3,c2c3,rn1qkbnr/ppp3pp/3pp3/4p3/4P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 5,first chance.
10,Nf6,g8f6,rn1qkb1r/ppp3pp/3ppn2/4p3/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 6,first chance.
11,Qb3,d1b3,rn1qkb1r/ppp3pp/3ppn2/4p3/4P3/1QP2N2/PP1P1PPP/RNB1K2R b KQkq - 2 6,first chance.
12,b6,b7b6,rn1qkb1r/p1p3pp/1p1ppn2/4p3/4P3/1QP2N2/PP1P1PPP/RNB1K2R w KQkq - 0 7,first chance.
13,Qxe6+,b3e6,rn1qkb1r/p1p3pp/1p1pQn2/4p3/4P3/2P2N2/PP1P1PPP/RNB1K2R b KQkq - 0 7,first chance.
14,Qe7,d8e7,rn2kb1r/p1p1q1pp/1p1pQn2/4p3/4P3/2P2N2/PP1P1PPP/RNB1K2R w KQkq - 1 8,still early for exchanging queens and protecting the pawn in e4.
15,Qc4,e6c4,rn2kb1r/p1p1q1pp/1p1p1n2/4p3/2Q1P3/2P2N2/PP1P1PPP/RNB1K2R b KQkq - 2 8,still early for exchanging queens and protecting the pawn in e4.
16,Qd7,e7d7,rn2kb1r/p1pq2pp/1p1p1n2/4p3/2Q1P3/2P2N2/PP1P1PPP/RNB1K2R w KQkq - 3 9,castling.
17,O-O,e1g1,rn2kb1r/p1pq2pp/1p1p1n2/4p3/2Q1P3/2P2N2/PP1P1PPP/RNB2RK1 b kq - 4 9,castling.
18,Qf7,d7f7,rn2kb1r/p1p2qpp/1p1p1n2/4p3/2Q1P3/2P2N2/PP1P1PPP/RNB2RK1 w kq - 5 10,bad move.
19,Qxf7+,c4f7,rn2kb1r/p1p2Qpp/1p1p1n2/4p3/4P3/2P2N2/PP1P1PPP/RNB2RK1 b kq - 0 10,"good move, to expose black king and prevent black castling."
20,Kxf7,e8f7,rn3b1r/p1p2kpp/1p1p1n2/4p3/4P3/2P2N2/PP1P1PPP/RNB2RK1 w - - 0 11,forced.
21,Ng5+,f3g5,rn3b1r/p1p2kpp/1p1p1n2/4p1N1/4P3/2P5/PP1P1PPP/RNB2RK1 b - - 1 11,to stop Nc5.
22,Ke7,f7e7,rn3b1r/p1p1k1pp/1p1p1n2/4p1N1/4P3/2P5/PP1P1PPP/RNB2RK1 w - - 2 12,to stop Nc5.
23,d3,d2d3,rn3b1r/p1p1k1pp/1p1p1n2/4p1N1/4P3/2PP4/PP3PPP/RNB2RK1 b - - 0 12,to stop Nc5.
24,Nbd7,b8d7,r4b1r/p1pnk1pp/1p1p1n2/4p1N1/4P3/2PP4/PP3PPP/RNB2RK1 w - - 1 13,to stop Nc5.
25,b4,b2b4,r4b1r/p1pnk1pp/1p1p1n2/4p1N1/1P2P3/2PP4/P4PPP/RNB2RK1 b - - 0 13,to stop Nc5.
26,h6,h7h6,r4b1r/p1pnk1p1/1p1p1n1p/4p1N1/1P2P3/2PP4/P4PPP/RNB2RK1 w - - 0 14,mistake.
27,Nf3,g5f3,r4b1r/p1pnk1p1/1p1p1n1p/4p3/1P2P3/2PP1N2/P4PPP/RNB2RK1 b - - 1 14,mistake.
28,Re8,a8e8,4rb1r/p1pnk1p1/1p1p1n1p/4p3/1P2P3/2PP1N2/P4PPP/RNB2RK1 w - - 2 15,mistake.
29,Nh4,f3h4,4rb1r/p1pnk1p1/1p1p1n1p/4p3/1P2P2N/2PP4/P4PPP/RNB2RK1 b - - 3 15,mistake.
30,Rg8,h8g8,4rbr1/p1pnk1p1/1p1p1n1p/4p3/1P2P2N/2PP4/P4PPP/RNB2RK1 w - - 4 16,mistake.
31,Na3,b1a3,4rbr1/p1pnk1p1/1p1p1n1p/4p3/1P2P2N/N1PP4/P4PPP/R1B2RK1 b - - 5 16,mistake.
32,g5,g7g5,4rbr1/p1pnk3/1p1p1n1p/4p1p1/1P2P2N/N1PP4/P4PPP/R1B2RK1 w - - 0 17,mistake.
33,Nf5+,h4f5,4rbr1/p1pnk3/1p1p1n1p/4pNp1/1P2P3/N1PP4/P4PPP/R1B2RK1 b - - 1 17,mistake.
34,Kd8,e7d8,3krbr1/p1pn4/1p1p1n1p/4pNp1/1P2P3/N1PP4/P4PPP/R1B2RK1 w - - 2 18,mistake.
35,Nb5,a3b5,3krbr1/p1pn4/1p1p1n1p/1N2pNp1/1P2P3/2PP4/P4PPP/R1B2RK1 b - - 3 18,mistake.
36,a6,a7a6,3krbr1/2pn4/pp1p1n1p/1N2pNp1/1P2P3/2PP4/P4PPP/R1B2RK1 w - - 0 19,mistake.
37,Na7,b5a7,3krbr1/N1pn4/pp1p1n1p/4pNp1/1P2P3/2PP4/P4PPP/R1B2RK1 b - - 1 19,mistake.
38,Re6,e8e6,3k1br1/N1pn4/pp1prn1p/4pNp1/1P2P3/2PP4/P4PPP/R1B2RK1 w - - 2 20,mistake.
39,c4,c3c4,3k1br1/N1pn4/pp1prn1p/4pNp1/1PP1P3/3P4/P4PPP/R1B2RK1 b - - 0 20,mistake.
40,Ne8,f6e8,3knbr1/N1pn4/pp1pr2p/4pNp1/1PP1P3/3P4/P4PPP/R1B2RK1 w - - 1 21,mistake.
41,b5,b4b5,3knbr1/N1pn4/pp1pr2p/1P2pNp1/2P1P3/3P4/P4PPP/R1B2RK1 b - - 0 21,mistake.
42,a5,a6a5,3knbr1/N1pn4/1p1pr2p/pP2pNp1/2P1P3/3P4/P4PPP/R1B2RK1 w - - 0 22,mistake.
43,a4,a2a4,3knbr1/N1pn4/1p1pr2p/pP2pNp1/P1P1P3/3P4/5PPP/R1B2RK1 b - - 0 22,mistake.
44,Ng7,e8g7,3k1br1/N1pn2n1/1p1pr2p/pP2pNp1/P1P1P3/3P4/5PPP/R1B2RK1 w - - 1 23,mistake.
45,Nxh6,f5h6,3k1br1/N1pn2n1/1p1pr2N/pP2p1p1/P1P1P3/3P4/5PPP/R1B2RK1 b - - 0 23,good move.
46,Rxh6,e6h6,3k1br1/N1pn2n1/1p1p3r/pP2p1p1/P1P1P3/3P4/5PPP/R1B2RK1 w - - 0 24,bad one.
47,Bxg5+,c1g5,3k1br1/N1pn2n1/1p1p3r/pP2p1B1/P1P1P3/3P4/5PPP/R4RK1 b - - 0 24,good one.
48,Rf6,h6f6,3k1br1/N1pn2n1/1p1p1r2/pP2p1B1/P1P1P3/3P4/5PPP/R4RK1 w - - 1 25,good one.
49,Bxf6+,g5f6,3k1br1/N1pn2n1/1p1p1B2/pP2p3/P1P1P3/3P4/5PPP/R4RK1 b - - 0 25,good one.
