N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,This is where I realized we were a little unmatched...
2,d6,d7d6,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,This is where I realized we were a little unmatched...
3,d4,d2d4,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,This is where I realized we were a little unmatched...
4,a6,a7a6,rnbqkbnr/1pp1pppp/p2p4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,This is where I realized we were a little unmatched...
5,Nf3,g1f3,rnbqkbnr/1pp1pppp/p2p4/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,This is where I realized we were a little unmatched...
6,Nh6,g8h6,rnbqkb1r/1pp1pppp/p2p3n/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,This is where I realized we were a little unmatched...
7,Nc3,b1c3,rnbqkb1r/1pp1pppp/p2p3n/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 3 4,This is where I realized we were a little unmatched...
8,Be6,c8e6,rn1qkb1r/1pp1pppp/p2pb2n/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 4 5,This is where I realized we were a little unmatched...
9,Be3,c1e3,rn1qkb1r/1pp1pppp/p2pb2n/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 5 5,This is where I realized we were a little unmatched...
10,Bh3,e6h3,rn1qkb1r/1pp1pppp/p2p3n/8/3PP3/2N1BN1b/PPP2PPP/R2QKB1R w KQkq - 6 6,This is where I realized we were a little unmatched...
11,gxh3,g2h3,rn1qkb1r/1pp1pppp/p2p3n/8/3PP3/2N1BN1P/PPP2P1P/R2QKB1R b KQkq - 0 6,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
12,f6,f7f6,rn1qkb1r/1pp1p1pp/p2p1p1n/8/3PP3/2N1BN1P/PPP2P1P/R2QKB1R w KQkq - 0 7,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
13,Bd3,f1d3,rn1qkb1r/1pp1p1pp/p2p1p1n/8/3PP3/2NBBN1P/PPP2P1P/R2QK2R b KQkq - 1 7,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
14,g6,g7g6,rn1qkb1r/1pp1p2p/p2p1ppn/8/3PP3/2NBBN1P/PPP2P1P/R2QK2R w KQkq - 0 8,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
15,Qd2,d1d2,rn1qkb1r/1pp1p2p/p2p1ppn/8/3PP3/2NBBN1P/PPPQ1P1P/R3K2R b KQkq - 1 8,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
16,Rg8,h8g8,rn1qkbr1/1pp1p2p/p2p1ppn/8/3PP3/2NBBN1P/PPPQ1P1P/R3K2R w KQq - 2 9,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
17,Bxh6,e3h6,rn1qkbr1/1pp1p2p/p2p1ppB/8/3PP3/2NB1N1P/PPPQ1P1P/R3K2R b KQq - 0 9,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
18,a5,a6a5,rn1qkbr1/1pp1p2p/3p1ppB/p7/3PP3/2NB1N1P/PPPQ1P1P/R3K2R w KQq - 0 10,"6 points up, and then my momentum starts to slow. There is never any danger of losing the game for white, but for some reason finding holes is harder than I feel it should be...considering my opponent seems to be moving without rhyme or reason..."
19,Bf4,h6f4,rn1qkbr1/1pp1p2p/3p1pp1/p7/3PPB2/2NB1N1P/PPPQ1P1P/R3K2R b KQq - 1 10,"This is actually a bad move, but I make it with the knowledge that my opponent will make a move at random, and not just take my completely undefended pawn. This is a very attractive checkmate in 1 for me. I've never checkmated anybody with just a pawn...I don't think."
20,Nd7,b8d7,r2qkbr1/1ppnp2p/3p1pp1/p7/3PPB2/2NB1N1P/PPPQ1P1P/R3K2R w KQq - 2 11,"This is actually a bad move, but I make it with the knowledge that my opponent will make a move at random, and not just take my completely undefended pawn. This is a very attractive checkmate in 1 for me. I've never checkmated anybody with just a pawn...I don't think."
