N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e3,e2e3,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Ng6 looks better.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Ng6 looks better.
3,Qh5,d1h5,rnbqkbnr/pppp1ppp/8/4p2Q/8/4P3/PPPP1PPP/RNB1KBNR b KQkq - 1 2,Ng6 looks better.
4,d6,d7d6,rnbqkbnr/ppp2ppp/3p4/4p2Q/8/4P3/PPPP1PPP/RNB1KBNR w KQkq - 0 3,Ng6 looks better.
5,Bc4,f1c4,rnbqkbnr/ppp2ppp/3p4/4p2Q/2B5/4P3/PPPP1PPP/RNB1K1NR b KQkq - 1 3,Ng6 looks better.
6,g6,g7g6,rnbqkbnr/ppp2p1p/3p2p1/4p2Q/2B5/4P3/PPPP1PPP/RNB1K1NR w KQkq - 0 4,Ng6 looks better.
7,Qf3,h5f3,rnbqkbnr/ppp2p1p/3p2p1/4p3/2B5/4PQ2/PPPP1PPP/RNB1K1NR b KQkq - 1 4,Ng6 looks better.
8,Be6,c8e6,rn1qkbnr/ppp2p1p/3pb1p1/4p3/2B5/4PQ2/PPPP1PPP/RNB1K1NR w KQkq - 2 5,Ng6 looks better.
9,Bxe6,c4e6,rn1qkbnr/ppp2p1p/3pB1p1/4p3/8/4PQ2/PPPP1PPP/RNB1K1NR b KQkq - 0 5,"Nah, white eyes QxPe6+.  Nc5 is better, blocking that and developing while pushing the queen."
10,fxe6,f7e6,rn1qkbnr/ppp4p/3pp1p1/4p3/8/4PQ2/PPPP1PPP/RNB1K1NR w KQkq - 0 6,"Nah, white eyes QxPe6+.  Nc5 is better, blocking that and developing while pushing the queen."
11,Qxb7,f3b7,rn1qkbnr/pQp4p/3pp1p1/4p3/8/4P3/PPPP1PPP/RNB1K1NR b KQkq - 0 6,"Nah, white eyes QxPe6+.  Nc5 is better, blocking that and developing while pushing the queen."
12,Nd7,b8d7,r2qkbnr/pQpn3p/3pp1p1/4p3/8/4P3/PPPP1PPP/RNB1K1NR w KQkq - 1 7,"Nah, white eyes QxPe6+.  Nc5 is better, blocking that and developing while pushing the queen."
13,Qb3,b7b3,r2qkbnr/p1pn3p/3pp1p1/4p3/8/1Q2P3/PPPP1PPP/RNB1K1NR b KQkq - 2 7,"Nah, white eyes QxPe6+.  Nc5 is better, blocking that and developing while pushing the queen."
