N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,I'm white and use my standard open game e4!
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
3,Nc3,b1c3,rnbqkb1r/pppppppp/5n2/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 2,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
4,d6,d7d6,rnbqkb1r/ppp1pppp/3p1n2/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
5,Bc4,f1c4,rnbqkb1r/ppp1pppp/3p1n2/8/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 3,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
6,c6,c7c6,rnbqkb1r/pp2pppp/2pp1n2/8/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 4,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
7,Nf3,g1f3,rnbqkb1r/pp2pppp/2pp1n2/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
8,g6,g7g6,rnbqkb1r/pp2pp1p/2pp1np1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
9,Ng5,f3g5,rnbqkb1r/pp2pp1p/2pp1np1/6N1/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQkq - 1 5,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
10,e6,e7e6,rnbqkb1r/pp3p1p/2pppnp1/6N1/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 6,"His position is already a bit cramped, and I've got 2 more minor pieces developed then he does."
11,d4,d2d4,rnbqkb1r/pp3p1p/2pppnp1/6N1/2BPP3/2N5/PPP2PPP/R1BQK2R b KQkq - 0 6,At this point I have decided a brute force assault on the kingside is my best option.
12,Bg7,f8g7,rnbqk2r/pp3pbp/2pppnp1/6N1/2BPP3/2N5/PPP2PPP/R1BQK2R w KQkq - 1 7,At this point I have decided a brute force assault on the kingside is my best option.
13,O-O,e1g1,rnbqk2r/pp3pbp/2pppnp1/6N1/2BPP3/2N5/PPP2PPP/R1BQ1RK1 b kq - 2 7,At this point I have decided a brute force assault on the kingside is my best option.
14,O-O,e8g8,rnbq1rk1/pp3pbp/2pppnp1/6N1/2BPP3/2N5/PPP2PPP/R1BQ1RK1 w - - 3 8,At this point I have decided a brute force assault on the kingside is my best option.
