N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e4 opening
2,e6,e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,a good defense. e3 is good.
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,my favorite knight attack
4,Qh4,d8h4,rnb1kbnr/pppp1ppp/4p3/8/4P2q/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,A HORRIBLE MOVE!!!! WHY DO YOU DO THIS??????????
5,Nxh4,f3h4,rnb1kbnr/pppp1ppp/4p3/8/4P2N/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Wow! This is just so bad....
6,g5,g7g5,rnb1kbnr/pppp1p1p/4p3/6p1/4P2N/8/PPPP1PPP/RNBQKB1R w KQkq - 0 4,He won't even resign!
7,Nf3,h4f3,rnb1kbnr/pppp1p1p/4p3/6p1/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 4,I will just have to keep playing..
8,Nf6,g8f6,rnb1kb1r/pppp1p1p/4pn2/6p1/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 5,pawn is exposed
9,Nxg5,f3g5,rnb1kb1r/pppp1p1p/4pn2/6N1/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 5,"Got it! But, then he timed out. Sad."
