N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"its been a while and im not ""booked"" so i try strange things to me all the time....queen pawn, lets see."
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,two knights..looks like blacks gona set his sniper on g7
3,Nf3,g1f3,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,two knights..looks like blacks gona set his sniper on g7
4,g6,g7g6,rnbqkbnr/ppp1pp1p/6p1/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,two knights..looks like blacks gona set his sniper on g7
5,Nc3,b1c3,rnbqkbnr/ppp1pp1p/6p1/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,two knights..looks like blacks gona set his sniper on g7
6,Nf6,g8f6,rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 2 4,"there he does it, im not worried, centers preaty equal at this point."
7,Bg5,c1g5,rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 3 4,"there he does it, im not worried, centers preaty equal at this point."
8,Bg7,f8g7,rnbqk2r/ppp1ppbp/5np1/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 4 5,"there he does it, im not worried, centers preaty equal at this point."
9,Bxf6,g5f6,rnbqk2r/ppp1ppbp/5Bp1/3p4/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 0 5,"perhaps a bad move, but IMO the fiencheto without the knight there is not as strong...whatcha think?"
10,Bxf6,g7f6,rnbqk2r/ppp1pp1p/5bp1/3p4/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 0 6,"time to clean up the center, probly to early, but i like it."
11,e4,e2e4,rnbqk2r/ppp1pp1p/5bp1/3p4/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq - 0 6,"time to clean up the center, probly to early, but i like it."
12,dxe4,d5e4,rnbqk2r/ppp1pp1p/5bp1/8/3Pp3/2N2N2/PPP2PPP/R2QKB1R w KQkq - 0 7,"tempi back in my hands afer the ""un forced"" knight i killed on f6"
13,Nxe4,c3e4,rnbqk2r/ppp1pp1p/5bp1/8/3PN3/5N2/PPP2PPP/R2QKB1R b KQkq - 0 7,"tempi back in my hands afer the ""un forced"" knight i killed on f6"
14,Bg7,f6g7,rnbqk2r/ppp1ppbp/6p1/8/3PN3/5N2/PPP2PPP/R2QKB1R w KQkq - 1 8,"tempi back in my hands afer the ""un forced"" knight i killed on f6"
15,c4,c2c4,rnbqk2r/ppp1ppbp/6p1/8/2PPN3/5N2/PP3PPP/R2QKB1R b KQkq - 0 8,trying to get the center ALL to my self
16,Nc6,b8c6,r1bqk2r/ppp1ppbp/2n3p1/8/2PPN3/5N2/PP3PPP/R2QKB1R w KQkq - 1 9,"d4 is weak, i cant save it."
17,c5,c4c5,r1bqk2r/ppp1ppbp/2n3p1/2P5/3PN3/5N2/PP3PPP/R2QKB1R b KQkq - 0 9,not sure just looked good.
18,Nxd4,c6d4,r1bqk2r/ppp1ppbp/6p1/2P5/3nN3/5N2/PP3PPP/R2QKB1R w KQkq - 0 10,now d4 is dead
19,Nxd4,f3d4,r1bqk2r/ppp1ppbp/6p1/2P5/3NN3/8/PP3PPP/R2QKB1R b KQkq - 0 10,ok here she comes...
20,Bxd4,g7d4,r1bqk2r/ppp1pp1p/6p1/2P5/3bN3/8/PP3PPP/R2QKB1R w KQkq - 0 11,ok here she comes...
21,Bb5+,f1b5,r1bqk2r/ppp1pp1p/6p1/1BP5/3bN3/8/PP3PPP/R2QK2R b KQkq - 1 11,ok here she comes...
22,c6,c7c6,r1bqk2r/pp2pp1p/2p3p1/1BP5/3bN3/8/PP3PPP/R2QK2R w KQkq - 0 12,ok here she comes...
23,Bc4,b5c4,r1bqk2r/pp2pp1p/2p3p1/2P5/2BbN3/8/PP3PPP/R2QK2R b KQkq - 1 12,ok here she comes...
24,Bf5,c8f5,r2qk2r/pp2pp1p/2p3p1/2P2b2/2BbN3/8/PP3PPP/R2QK2R w KQkq - 2 13,ok here she comes...
25,Qf3,d1f3,r2qk2r/pp2pp1p/2p3p1/2P2b2/2BbN3/5Q2/PP3PPP/R3K2R b KQkq - 3 13,ok here she comes...
26,Bxb2,d4b2,r2qk2r/pp2pp1p/2p3p1/2P2b2/2B1N3/5Q2/Pb3PPP/R3K2R w KQkq - 0 14,ok here she comes...
27,Rd1,a1d1,r2qk2r/pp2pp1p/2p3p1/2P2b2/2B1N3/5Q2/Pb3PPP/3RK2R b Kkq - 1 14,ok here she comes...
28,Qa5+,d8a5,r3k2r/pp2pp1p/2p3p1/q1P2b2/2B1N3/5Q2/Pb3PPP/3RK2R w Kkq - 2 15,ok here she comes...
29,Nd2,e4d2,r3k2r/pp2pp1p/2p3p1/q1P2b2/2B5/5Q2/Pb1N1PPP/3RK2R b Kkq - 3 15,"im about to drop so piece so im hoping for a mistake by my opointnet, as im almost lost, his queen side attack is strong....."
30,Bc2,f5c2,r3k2r/pp2pp1p/2p3p1/q1P5/2B5/5Q2/PbbN1PPP/3RK2R w Kkq - 4 16,"im about to drop so piece so im hoping for a mistake by my opointnet, as im almost lost, his queen side attack is strong....."
31,Qxf7+,f3f7,r3k2r/pp2pQ1p/2p3p1/q1P5/2B5/8/PbbN1PPP/3RK2R b Kkq - 0 16,"im about to drop so piece so im hoping for a mistake by my opointnet, as im almost lost, his queen side attack is strong....."
32,Kd8,e8d8,r2k3r/pp2pQ1p/2p3p1/q1P5/2B5/8/PbbN1PPP/3RK2R w K - 1 17,oh course not to d7
33,O-O,e1g1,r2k3r/pp2pQ1p/2p3p1/q1P5/2B5/8/PbbN1PPP/3R1RK1 b - - 2 17,rook is a goner anyways so at least try to clear my king
34,Bxd1,c2d1,r2k3r/pp2pQ1p/2p3p1/q1P5/2B5/8/Pb1N1PPP/3b1RK1 w - - 0 18,clearing his king from the hidden check.
35,Rxd1,f1d1,r2k3r/pp2pQ1p/2p3p1/q1P5/2B5/8/Pb1N1PPP/3R2K1 b - - 0 18,clearing his king from the hidden check.
36,Kc8,d8c8,r1k4r/pp2pQ1p/2p3p1/q1P5/2B5/8/Pb1N1PPP/3R2K1 w - - 1 19,clearing his king from the hidden check.
37,Be6+,c4e6,r1k4r/pp2pQ1p/2p1B1p1/q1P5/8/8/Pb1N1PPP/3R2K1 b - - 2 19,no i attack!
38,Kb8,c8b8,rk5r/pp2pQ1p/2p1B1p1/q1P5/8/8/Pb1N1PPP/3R2K1 w - - 3 20,perhaps the loosing move.
39,Qxe7,f7e7,rk5r/pp2Q2p/2p1B1p1/q1P5/8/8/Pb1N1PPP/3R2K1 b - - 0 20,perhaps the loosing move.
40,Ba3,b2a3,rk5r/pp2Q2p/2p1B1p1/q1P5/8/b7/P2N1PPP/3R2K1 w - - 1 21,perhaps the loosing move.
41,Qd6+,e7d6,rk5r/pp5p/2pQB1p1/q1P5/8/b7/P2N1PPP/3R2K1 b - - 2 21,perhaps the loosing move.
42,Qc7,a5c7,rk5r/ppq4p/2pQB1p1/2P5/8/b7/P2N1PPP/3R2K1 w - - 3 22,perhaps the loosing move.
43,Nc4,d2c4,rk5r/ppq4p/2pQB1p1/2P5/2N5/b7/P4PPP/3R2K1 b - - 4 22,perhaps the loosing move.
44,Bb4,a3b4,rk5r/ppq4p/2pQB1p1/2P5/1bN5/8/P4PPP/3R2K1 w - - 5 23,perhaps the loosing move.
45,Qxc7+,d6c7,rk5r/ppQ4p/2p1B1p1/2P5/1bN5/8/P4PPP/3R2K1 b - - 0 23,
46,Kxc7,b8c7,r6r/ppk4p/2p1B1p1/2P5/1bN5/8/P4PPP/3R2K1 w - - 0 24,
47,Rd7+,d1d7,r6r/ppkR3p/2p1B1p1/2P5/1bN5/8/P4PPP/6K1 b - - 1 24,
48,Kc8,c7c8,r1k4r/pp1R3p/2p1B1p1/2P5/1bN5/8/P4PPP/6K1 w - - 2 25,
49,Nd6+,c4d6,r1k4r/pp1R3p/2pNB1p1/2P5/1b6/8/P4PPP/6K1 b - - 3 25,
50,Kb8,c8b8,rk5r/pp1R3p/2pNB1p1/2P5/1b6/8/P4PPP/6K1 w - - 4 26,
51,Rxb7#,d7b7,rk5r/pR5p/2pNB1p1/2P5/1b6/8/P4PPP/6K1 b - - 0 26,
